類別,社場名稱,社址,電話
生產合作社,保證責任嘉義縣中埔咖啡生產合作社,中埔鄉深坑村9鄰87之2號,2532677
生產合作社,保證責任嘉義縣嘉利果菜生產合作社,民雄鄉松山村後山仔25號,2722259
生產合作社,保證責任嘉義縣東石雜糧生產合作社,東石鄉蔦松村湖底20之28號,3792217
生產合作社,保證責任嘉義縣新港水產品生產合作社,新港鄉北崙村72號,3760635
生產合作社,保證責任嘉義縣梅山茶油生產合作社,梅山鄉中山路617號,2621327
生產合作社,保證責任嘉義縣甲茂果菜生產合作社,梅山鄉梅東村健康街10巷2號,2625495
生產合作社,保證責任嘉義縣阿里山農特產生產合作社,番路鄉觸口村14鄰1之5號,2592323
生產合作社,保證責任嘉義縣民雄草繩生產合作社,民雄鄉頂崙村崙仔頂1之7號,2269667
生產合作社,有限責任嘉義縣大眾果菜生產合作社,中埔鄉義仁村樹頭埔4之16號,2537075
生產合作社,有限責任嘉義縣大埔孟崇竹炭生產合作社,大埔鄉和平村石硤內22號,2521229
生產合作社,保證責任嘉義縣景觀觀賞植物生產合作社,梅山鄉太平村大坪15號,2571312
生產合作社,保證責任嘉義縣壽生農特產生產合作社,"太保市安仁里太保1路40之6號
通訊處：六腳鄉工廠村1號","3800761
0912328415"
生產合作社,保證責任嘉義縣大埔咖啡生產合作社,大埔鄉大埔村15鄰大埔194號,2521973
生產合作社,保證責任嘉義縣天和果菜生產合作社,中埔鄉富收村23鄰興化?56號,2303430
生產合作社,保證責任嘉義縣峰翔果菜生產合作社,民雄鄉三興村陳厝寮3鄰51號,2720877
生產合作社,保證責任嘉義縣坪林果菜生產合作社,大埔鄉茄苳村7鄰1之2號,2521567
生產合作社,保證責任嘉義縣玉山茶葉生產合作社,梅山鄉太平村18號  ,2538187
生產合作社,保證責任嘉義縣阿里山鄉達娜伊谷原住民產業生產合作社,阿里山鄉山美村6鄰106號,2586655
生產合作社,保證責任嘉義縣嘉義農產品生產合作社,民雄鄉福興村牛稠溪1419號,2131922
生產合作社,保證責任嘉義縣鎮嘉農產生產合作社,太保市埤鄉里埤麻腳29號附3,0956655760
生產合作社,保證責任嘉義縣大埔蔬果生產合作社,大埔鄉大埔村13鄰大埔279號,2521576
生產合作社,保證責任嘉義縣農富發果菜生產合作社,布袋鎮江山里1鄰崩山2號之3,3472432
生產合作社,保證責任嘉義縣盛豐興果菜生產合作社,民雄鄉福樂村埤角66之37號,2130328
生產合作社,保證責任嘉義縣義豐花卉蔬果生產合作社,六腳鄉三義村78之24號,3805598
生產合作社,保證責任嘉義縣諸羅果菜生產合作社,新港鄉板頭村9鄰灣子內35號,7812143
生產合作社,保證責任嘉義縣六腳畜產生產合作社,六腳鄉六南村11鄰226號,3623520
生產合作社,保證責任嘉義縣嘉基畜牧生產合作社,義竹鄉傳芳村461號,3418929
生產合作社,保證責任嘉義縣新鮮族果菜生產合作社,梅山鄉大南村大草埔17之1號,0937658837
生產合作社,保證責任嘉義縣阿里山巃頂茶葉生產合作社(102.10.25更名),梅山鄉民生街60巷12號,2622752
生產合作社,保證責任嘉義縣松茂果菜生產合作社,嘉義縣朴子市大葛里36號,3705467
生產合作社,保證責任嘉義縣瑞峰茶葉生產合作社,梅山鄉瑞峰村6鄰37號,2501087
生產合作社,保證責任嘉義縣上勝果菜生產合作社,六腳鄉永賢村4鄰161號,3780658
生產合作社,保證責任嘉義縣有常茶園茶葉生產合作社,番路鄉觸口村牛埔仔28號,2593616
生產合作社,保證責任嘉義縣旺達人茶葉生產合作社,梅山鄉瑞峰村生毛樹11-3號,937573825
生產合作社,保證責任嘉義縣鼎蒼蔬果生產合作社,梅山鄉大南村南勢坑1號,2625704
生產合作社,保證責任嘉義縣淳果果菜生產合作社,六腳鄉竹本村10-1號,3780248
生產合作社,保證責任嘉義縣東展花卉蔬果生產合作社,六腳鄉六斗村1之55號,05-7813490
生產合作社,保證責任嘉義縣江西蔬果生產合作社,番路鄉下坑村北勢4號之2附3,2591122
生產合作社,保證責任嘉義縣薪農果菜生產合作社,布袋鎮菜舖里新吉庄10號,3421121
生產合作社,保證責任嘉義縣阿里山幸福茶葉生產合作社,番路鄉公興村中寮41-5號,0937208399
生產合作社,保證責任嘉義縣六腳毛豆大豆雜糧生產合作社,六腳鄉豐美村16鄰185號之1,3802045
運銷合作社,保證責任嘉義縣中埔果菜運銷合作社,中埔鄉中埔村11鄰79號,2531012
運銷合作社,保證責任嘉義縣崙尾果菜運銷合作社,溪口鄉美南村82號,2692219
運銷合作社,保證責任嘉義縣嘉民果菜運銷合作社,民雄鄉東湖村111之43號,2261497
運銷合作社,保證責任嘉義縣宸暘果菜運銷合作社,大林鎮明和里甘庶崙96之12號,2695571
運銷合作社,保證責任嘉義縣新港果菜運銷合作社,新港鄉菜公村7鄰41號,3742116
運銷合作社,保證責任嘉義縣嘉保果菜運銷合作社,太保市春珠里4鄰120之1號,3714058
運銷合作社,保證責任嘉義縣東石牡蠣運銷合作社,東石鄉東石村黎明路75號,3734789
運銷合作社,保證責任嘉義縣泰園果菜運銷合作社,竹崎鄉復金村4鄰58之1號,2614271
運銷合作社,保證責任嘉義縣布袋漁產運銷合作社,布袋鎮光復路1段17巷2弄21號,3474088
運銷合作社,保證責任嘉義縣健成果菜運銷合作社,六腳鄉灣南村13號,3802628
運銷合作社,保證責任嘉義縣嘉義果菜運銷合作社,民雄鄉西昌村66之5號,2063602
運銷合作社,保證責任嘉義縣嘉偉果菜運銷合作社,太保市過溝里瓦厝19之1號,2378123
運銷合作社,有限責任嘉義縣嘉農果菜運銷合作社,太保市後潭里422之8號,3716363
運銷合作社,保證責任嘉義縣梅山永興果菜運銷合作社,梅山鄉永興村45之2號,2625592
運銷合作社,保證責任嘉義縣嘉梅果菜運銷合作社,梅山鄉大南村大片田15之3號,2624611
運銷合作社,有限責任嘉義縣六腳蔬果運銷合作社,六腳鄉更寮村234號,3792847
運銷合作社,保證責任嘉義縣香泉果菜運銷合作社,梅山鄉永興村6鄰49號,2625428
運銷合作社,保證責任嘉義縣養殖漁業運銷合作社,東石鄉永屯村38之25號,3703805
運銷合作社,保證責任嘉義縣承美果菜運銷合作社,溪口鄉溪民路90號,2691279
運銷合作社,保證責任嘉義縣東揚蔬果運銷合作社,大林鎮明和里忠孝路439號,2641310
運銷合作社,保證責任嘉義縣諸羅養殖漁業運銷合作社,東石鄉塭仔村120號,3453721
運銷合作社,保證責任嘉義縣東興果菜運銷合作社,民雄鄉東興村6鄰葉子寮49號,2720719
運銷合作社,保證責任嘉義縣麗財果菜運銷合作社,竹崎鄉獅埜村公館13號,2615095
運銷合作社,保證責任嘉義縣昇平果菜運銷合作社,竹崎鄉昇平村昇平1之2號,2540468
運銷合作社,保證責任嘉義縣龍山果菜運銷合作社,番路鄉公田村7鄰過龍仔7號,2586925
運銷合作社,保證責任嘉義縣橘祥果菜運銷合作社,梅山鄉雙溪村下雙溪23號之6,2622956
運銷合作社,保證責任嘉義縣嘉新果菜運銷合作社,番路鄉新福村9鄰下宅仔30號,2591197
運銷合作社,保證責任嘉義縣中亞果菜運銷合作社,中埔鄉和美村大義路192號,2227956
運銷合作社,保證責任嘉義縣灣橋果菜運銷合作社,竹崎鄉灣橋村枋子林52號,0910226188
運銷合作社,保證責任嘉義縣嘉祥果菜運銷合作社,番路鄉番路村下石頭埔2之1號,2591519
運銷合作社,保證責任嘉義縣上豐蔬菜運銷合作社,新港鄉共和村後庄55號,3747729
運銷合作社,保證責任嘉義縣朴子果菜運銷合作社,義竹鄉溪洲村20之2號,3620519
運銷合作社,保證責任嘉義縣億鑫果菜運銷合作社,大林鎮過溪里過溪560號,2950985
運銷合作社,保證責任嘉義縣阿里山果菜運銷合作社,番路鄉觸口村5鄰75號,2590255
運銷合作社,保證責任嘉義縣榮成果菜運銷合作社,大林鎮過溪里過溪501號,0937862488
運銷合作社,保證責任嘉義縣宜興果菜運銷合作社,民雄鄉西安村復興路157號,2260212
運銷合作社,保證責任嘉義縣大阿里山一支杉農產加工運銷合作社,梅山鄉中正路105之7號,2620557
運銷合作社,保證責任嘉義縣兆豐果菜運銷合作社,民雄鄉福權村75號,2263683
運銷合作社,保證責任嘉義縣嘉福果菜運銷合作社,民雄鄉福權村49之3號,2263903
運銷合作社,保證責任嘉義縣阿里山紅茶運銷合作社,番路鄉公興村中寮41號附6,2586616
運銷合作社,保證責任嘉義縣游東果菜運銷合作社,溪口鄉游東村民生街53號,2692328
運銷合作社,有限責任嘉義縣季津漁業運銷合作社,東石鄉塭仔村後埔37附10號,3453721
運銷合作社,保證責任嘉義縣港尾寮果菜運銷合作社,六腳鄉港美村60號,0935051643
運銷合作社,保證責任嘉義縣沄水果菜運銷合作社,中埔鄉澐水村竹頭崎10之2號,2531722
運銷合作社,保證責任嘉義縣嘉哲果菜運銷合作社,梅山鄉圳南村三源25號,2621925
運銷合作社,保證責任嘉義縣勝雄果菜運銷合作社,溪口鄉美北村12鄰63號,916005790
運銷合作社,保證責任嘉義縣玉明山果菜運銷合作社,梅山鄉梅北村三美庄17之1號,929611081
勞動,有限責任嘉義縣道路景觀勞動合作社,布袋鎮新北五街38號,3472768
勞動,保證責任嘉義縣阿里山原住民景觀綠化勞動合作社,"阿里山鄉茶山村55號
通訊處：水上鄉柳林村柳子林189之7號",2601358
勞動,有限責任嘉義縣原住民園藝勞動合作社,阿里山來吉村1鄰1號,2661111
勞動,有限責任嘉義縣阿里山原住民土木工程勞動合作社,阿里山鄉山美村山美1-1號       ,0910897013
員生中學,有限責任嘉義縣立大林國民中學員生消費合作社,大林鎮大糖里中學路1號,2658654
員生中學,有限責任嘉義縣立水上國民中學員生消費合作社,水上鄉水上村進學路45號,2682024
員生中學,有限責任嘉義縣立梅山國民中學員生消費合作社,梅山鄉健康街136號,2621047
員生中學,有限責任嘉義縣立中埔國民中學員生消費合作社,中埔鄉中埔村177號,2536114
員生中學,有限責任嘉義縣立大吉國民中學員生消費合作社,民雄鄉大崎村內埔仔2之1號,2211651
員生中學,有限責任嘉義縣立民和國民中學員生消費合作社,番路鄉下坑村菜公店30號,2591109
員生中學,有限責任嘉義縣立民雄國民中學員生消費合作社,民雄鄉西安村西安路147號,2261542
員生中學,有限責任嘉義縣立義竹國民中學員生消費合作社,義竹鄉岸腳村59之2號,3412225
員生中學,有限責任嘉義縣立忠和國民中學員生消費合作社,水上鄉忠和村6之2號,2891026
員生中學,有限責任嘉義縣立東榮國民中學員生消費合作社,東石鄉永屯村39之2號,3730007
員生中學,有限責任嘉義縣立新港國民中學員生消費合作社,新港鄉福德路106號,3742594
員生中學,有限責任嘉義縣立朴子國民中學員生消費合作社,朴子市大同路245號,3792201
員生中學,有限責任嘉義縣立過溝國民中學員生消費合作社,東石鄉西崙村438號,3451459
員生中學,有限責任嘉義縣立竹崎高級中學員生消費合作社,竹崎鄉竹崎村文化路23號,2611006
員生中學,有限責任國立東石高級中學員生消費合作社,朴子市大鄉里大康榔253號,3794180
員生中學,有限責任國立民雄高級農工員生消費合作社,民雄鄉文隆村81號,2267121
員生中學,有限責任嘉義縣私立協同高級中學員生消費合作社,民雄鄉建國路2段31號,2213672
員生中學,有限責任國立中正大學員生消費合作社,民雄鄉大學路168號,2720411
員生中學,有限責任私立南華大學員生消費合作社,大林鎮南華路一段55號,2721001-8631
員生小學,有限責任嘉義縣朴子市大同國民小學員生消費合作社,朴子市大同路239號,3792144
聯合社,保證責任嘉義縣農業合作社聯合社,東石鄉蔦松村40之34號,3799951
員工,有限責任嘉義縣大林鎮公教員工聯合消費合作社,大林鎮中正路93號,2653211
員工,有限責任嘉義縣大埔鄉公所員工消費合作社,大埔鄉大埔村34之5號,2521310
員工,有限責任嘉義縣中埔鄉公教員工聯合消費合作社,中埔鄉中埔村128號,2533321
員工,有限責任嘉義縣梅山鄉公教員工聯合消費合作社,梅山鄉中山路282號,2622121
員工,有限責任嘉義縣新港鄉公教員工聯合消費合作社,新港鄉中山路155號,3742104
員工,有限責任嘉義縣竹崎鄉公教員工聯合消費合作社,竹崎鄉中山路59號,2611010
員工,有限責任嘉義縣民雄鄉公教員工聯合消費合作社,民雄鄉文化路7號,2262101
員工,有限責任嘉義縣水上鄉公教員工聯合消費合作社,水上鄉正義路113號,2682406
員工,有限責任嘉義縣鹿草鄉公教員工聯合消費合作社,鹿草鄉西井村287號,3752711
員工,有限責任嘉義縣溪口鄉公教員工聯合消費合作社,溪口鄉中山路89號,2691038
員工,有限責任嘉義縣太保市公教員工聯合消費合作社,太保市太保村66號,3711106
員工,有限責任嘉義縣東石鄉公教員工聯合消費合作社,東石鄉東石村3號,3732201
員工,有限責任嘉義縣布袋鎮公教員工聯合消費合作社,布袋鎮自由路2號,3475979
員工,有限責任嘉義縣六腳鄉公教員工聯合消費合作社,六腳鄉蒜頭村73號,3801121
員工,有限責任嘉義縣義竹鄉公教員工聯合消費合作社,義竹鄉仁里村389號,3411311
員工,有限責任嘉義縣阿里山鄉公教員工聯合消費合作社,阿里山鄉達邦村23號,2511001
員工,有限責任嘉義縣番路鄉公教員工聯合消費合作社,番路鄉下坑村菜公店101號,2591124
員工,有限責任嘉義縣朴子市機關聯合員工消費合作社,朴子市光復路34號,3795102
員工,有限責任嘉義縣政府員工消費合作社,太保市祥和一路東段1號,3620033
員工,有限責任嘉義縣警察局員工消費合作社,太保市祥和一路東段3號,3620259
員工,有限責任嘉義縣議會員工消費合作社,朴子市祥和1路西段1號,
員工,有限責任法務部矯正署嘉義看守所員工消費合作社,鹿草鄉豐稠村信義新村1號,"3623867
3623856"
員工,有限責任法務部矯正署嘉義監獄員工消費合作社,鹿草鄉豐稠村維新新村1號,3621865
員工,有限責任衛生福利部朴子醫院員工消費合作社,朴子市永和里42-50號,3790600-348
利用,有限責任嘉義縣醫療廢棄物處理設備利用合作社,太保市太保五路70號,3625789
社區,保證責任嘉義縣阿里山鄉山美社區合作社,阿里山鄉山美村3鄰51之1號,2586994
社區,保證責任嘉義縣阿里山鄉里佳社區合作社,阿里山鄉里佳村2鄰31號,2511172
社區,保證責任嘉義縣原住民逐鹿社區合作社,番路鄉觸口村18鄰梅花7路3巷1號,2592174
社區,有限責任嘉義縣日安社區合作社,番路鄉新福村11鄰日安二街200號,2593885
社區,有限責任嘉義縣梅山鄉太平社區產業合作社,梅山鄉太平村29號,937657699
社區,保證責任嘉義縣布袋鎮東港社區合作社,布袋鎮東港里2鄰4號之3,963190638
儲蓄,鹿草,鹿草鄉西井村292號,3752660
儲蓄,聖母,朴子市文明路1之9號,3796764
儲蓄,海星,梅山鄉新興路68號,2625677
儲蓄,玉山,阿里山鄉達邦村特富野8鄰220-2號,2511176
儲蓄,救主,新港鄉古民街22號,3744104
儲蓄,樂野,阿里山鄉樂野村2鄰62號,2562884
儲蓄,主恩,梅山鄉新興路206號,2625778
儲蓄,三育,大林鎮中山路200號,2654882
儲蓄,里山,阿里山鄉里佳村2鄰28號,2511055
儲蓄,山美,阿里山鄉山美村4鄰89號,2586654
儲蓄,新美,阿里山鄉新美村4鄰61號,2513110
儲蓄,達邦,阿里山鄉達邦村3鄰68號附1,2511253
儲蓄,新光,新港鄉新中路668號,3744222
儲蓄,民光,民雄鄉西安村安和路20號,2265060
儲蓄,來吉,阿里山鄉來吉村4鄰100號,2661967
儲蓄,茶山,阿里山鄉茶山村4鄰88號,2513258
