鄉(鎮、市),排水路名稱,排水出口,權責起點,權責終點,備註
義竹鄉,後鎮中排四,溪墘排水,與溪墘排水合流點,台糖鐵路橋,94.11.14經授水字第09420219360號公告
布袋鎮、義竹鄉,新庄排水路,溪墘排水,與溪墘排水合流點,義竹鄉角帶圍35號,94.11.14經授水字第09420219360號公告
水上鄉,外溪洲排水路,八掌溪,與八掌溪合流點,水上橋,94.11.14經授水字第09420219360號公告
水上鄉、鹿草鄉,南靖排水路,八掌溪,與八掌溪合流點,下寮中排匯入處,94.11.14經授水字第09420219360號公告
鹿草鄉,鹿草排水路,八掌溪,與八掌溪合流點,三角子中排匯入處,94.11.14經授水字第09420219360號公告
水上鄉,內溪洲排水路,八掌溪,與八掌溪合流點,台糖鐵路橋上游起點3.030km處,94.11.14經授水字第09420219360號公告
大林鎮,早知排水,石龜溪,石龜溪匯流處,後?橋,101.1.17經授水字第10120200490號公告權責起點由石龜溪匯流處(陳井寮堤防橋)變更為石龜溪匯流處、權責終點由省道1號大林橋變更為後?橋
大林鎮,陳井寮排水,石龜溪,石龜溪匯流處,排水路與嘉96線交叉處上游600公尺處,97.1.3經授水字第09720200060號公告增列
大林鎮,北中林排水,大埔美排水,與大埔美排水匯流處,與嘉101線交叉處,97.1.3經授水字第09720200060號公告增列
大林鎮,大埔美排水,三疊溪,三疊溪匯流處,與高速公路(國三) 交接處,97.1.3經授水字第09720200060號公告增列
中埔鄉,公館排水,八掌溪,八掌溪匯流處,與嘉137交接處,97.1.3經授水字第09720200060號公告增列
水上鄉,義興排水,八掌溪,八掌溪匯流處,與仁達橋交接處,97.1.3經授水字第09720200060號公告增列
民雄鄉,山子門中排三,朴子溪,朴子溪匯流處,嘉南農田水利會中興圳第4號放水門下游處(不含水門),97.1.3經授水字第09720200060號公告增列
民雄鄉,頭橋排水,朴子溪,朴子溪匯流處(X=192073 Y=2601262),興南村21 鄰751號門牌前方停車場下水道箱涵出口(X=192108 Y=2601262),102.12.02經授水字第10220210940號公告，將原公告權責終點「興南村16鄰751 號門排前方停車場下水道箱涵出口」，因門牌整編，變更為「興南村21鄰751號門牌前方停車場下水道箱涵出口」，及增加起終點坐標
竹崎鄉,東灣橋排水,朴子溪,朴子溪匯流處,與日進橋交接處,97.1.3經授水字第09720200060號公告增列
布袋鎮,鹽管溝排水,出海,出海口,排水路與省道17號交叉處上游260公尺處,97.1.3經授水字第09720200060號公告增列
布袋鎮,?寮溝排水,出海,出海口,排水路與縣道3-4號交叉處下游105公尺處,97.1.3經授水字第09720200060號公告增列
布袋鎮,新塭排水,龍宮溪,龍宮溪匯流處,八掌溪堤防交會處,97.1.3經授水字第09720200060號公告增列
六腳鄉,魚寮中排三排水路,北港溪,北港溪匯流處,排水路省道19號長春橋上游200公尺處,97.1.3經授水字第09720200060號公告增列
六腳鄉,灣內區小排一,朴子溪,朴子溪匯流處,灣內72號前箱涵出口,97.1.3經授水字第09720200060號公告增列
東石鄉,鰲鼓排水路,出海,出海口,港口宮抽水站旁之水門前銜接處,102.3.15經授水字第10220202680號公告將原公告權責終點自「與台糖鐵路交叉處」，變更為「港口宮抽水站旁之水門前銜接處」
東石鄉,鰲鼓附帶排水路,出海,出海口,鰲鼓段645地號前銜接處,102.3.15經授水字第10220202680號公告將原公告權責終點自「鰲鼓段64-5地號前銜接嘉南農田水利會蚶子寮分線處」，變更為「與鰲鼓段64-5地號前銜接處」
東石鄉,副瀨地區小排一,六腳排水,六腳排水匯流處,與嘉9線交叉處,97.1.3經授水字第09720200060號公告增列
東石鄉,中三塊中排,朴子溪,朴子溪匯流處,與台61線交接處,99.3.31經授水字第09920203200號公告權責終點由與縣道166號交叉處變更為與台61線交接處
東石鄉,栗子崙排水,朴子溪,台61線東石濱海橋,栗子崙段東崙小段705地號前銜接嘉南農田水利會東崙中排處,101.7.27經授水字第10120207080號公告，排水出口由「出海」變更為「朴子溪」，原公告權責起點為「出海口」，變更為「台61線東石濱海橋
東石鄉,松子溝排水,出海,出海口,掌潭段養168地號前水門下游 (含水門),97.1.3經授水字第09720200060號公告增列
布袋鎮,金陵排水,出海,出海口,排水路與縣道163號交叉口上游670公尺,97.1.3經授水字第09720200060號公告增列
布袋鎮,南考試潭中排一支線,內田排水,內田排水匯流處,鹿寮段547 地號前,97.1.3經授水字第09720200060號公告增列
義竹鄉,五間厝排水,八掌溪,八掌溪匯流處,與嘉32線交接處，門牌中庄82之1號(中平村衛生室)前,97.1.3經授水字第09720200060號公告增列
竹崎鄉、番路鄉,灣橋排水,朴子溪,朴子溪匯流處,縣道159甲(大雅路1段)江西橋,97.1.3經授水字第09720200060號公告增列
新港鄉,山中區小排一之一,朴子溪,朴子溪匯流處,與國道1號交接箱涵出口,97.1.3經授水字第09720200060號公告增列
鹿草鄉,鹿草排水,八掌溪,與八掌溪合流點,後堀區小排5匯流處,97.1.3經授水字第09720200060號公告增列
水上鄉,中和排水一,赤蘭溪,與赤蘭溪合流處,穿越縣道「市嘉南 13」箱涵上游處,99.3.31經授水字第09920203200號公告增列
大林鎮,中林排水,大埔美排水,與大埔美排水銜接處,與國道三號高速公路交接處,99.8.17經授水字第09920209290號公告增列
東石鄉,松子溝排水,松子溝排水幹線,松子溝排水幹線,閘門上游50公尺,99.8.17經授水字第09920209290號公告增列
民雄鄉,大崎分洪排水,牛稠溪,牛稠溪匯流處(TWD97 X=194525 Y=2601565),十四甲放水門上游160公尺處分流閘門(TWD97 X=195780 Y=2601313),103.05.15經授水字第10320203290號公告新增
