業別,團  體  名  稱,理事長,會址或通訊處,電    話
學術文化,嘉義縣中小學校長協會,邱金春,嘉義縣水上鄉柳林村92號(柳林國小),3621839 2683240 2393485
學術文化,嘉義縣真佛宗大鵬學會,周炫曄,嘉義縣太保市祥和二路東段77號一樓,3454269 0982769561 0919443928
學術文化,嘉義縣創意美學協會,陳碧蘭,嘉義縣朴子市新榮路120號,3793667 0933617421 0932970676
學術文化,嘉義縣財德宮武財神宗教研究協會,曾淑?,嘉義縣溪口鄉本厝村厝子9-1號,0920140917  0936373471 0910956005
學術文化,嘉義縣文創藝術發展協會,涂涌賢,嘉義縣朴子市黎明路54-2號,980313887 0921519337
學術文化,嘉義縣手創工藝推廣協會,王桂珠,嘉義縣朴子市大同路135號,3799311 0922747026
醫療衛生,嘉義縣中國精神療養研究會,姚嘉駒,嘉義縣民雄鄉大崎村十四甲2-15號,2133796
醫療衛生,嘉義縣中醫藥學會,林文泉,會館:嘉義市上海路320巷2號,3471175  0932100307
醫療衛生,嘉義縣鍼灸學會,黃逢恩,嘉義縣民雄鄉民權路42之2號,2262249  2269949
醫療衛生,嘉義縣推拿學會,何文治,嘉義縣民雄鄉民生路12號,2263633
醫療衛生,嘉義縣藥商管理研究協會,黃梁政,嘉義市文化路79號3樓,2278693
宗教,嘉義縣佛教會,鄭榮昌(釋圓本),嘉義市民權路308號,2784193
宗教,嘉義縣道教會,劉德利,中埔鄉和美村後庄232之12號,0911176066   2240624
宗教,嘉義縣天德聖教會,鄭憲昌,通訊處:嘉義市保康路111-1號,2235729 0933360211
宗教,嘉義縣靈仙真佛宗密教三清學會,黃瓊毅,嘉義縣六腳鄉615正義村七鄰占富厝54號,3797207  3707208
宗教,嘉義縣寧瑪巴密嚴噶陀佛教協會,林聰輝,嘉義縣中埔鄉606中崙村中崙27號,2206661
宗教,嘉義縣祇園寺佛學會,陳淑姚,嘉義縣番路鄉內甕村竹山29-1號,2313979  2312319 0933375497
體育,嘉義縣體育會,羅信富,嘉義縣朴子市四維路1段460號之1,3799998   0937577381
體育,嘉義縣朴子市體育會,陳木成,嘉義縣朴子市北通路41號,05-3793889 0933205612 0932719613 
體育,嘉義縣布袋鎮體育會,陳鳳梅,嘉義縣布袋鎮復興里17-61號,3432995  3430068 0921290958
體育,嘉義縣大林鎮體育會,鄒志雄,會址嘉義縣大林鎮中興路42號,2659612 0937698631  0933595896
體育,嘉義縣民雄鄉體育會,陳文敬,嘉義縣民雄鄉民生路36號,2262024  2261223       0932807421
體育,嘉義縣溪口鄉體育會,郭柏霬,嘉義縣溪口鄉中正東路37號,2691078
體育,嘉義縣新港鄉體育會,盧信良,嘉義縣新港鄉福德路50號,3741953   3742139 0930817339 0928357928
體育,嘉義縣六腳鄉體育會,黃錦成,嘉義縣六腳鄉615蒜頭村73號,3801131
體育,嘉義縣東石鄉體育會,徐明勳,會址;嘉義縣東石鄉614塭港村41之1號(朴子國中),3731172
體育,嘉義縣義竹鄉體育會,翁聰賢,嘉義縣義竹鄉六桂村208號（義竹國小）,05-3730811 0937300461
體育,嘉義縣鹿草鄉體育會,黃國寶,聯絡地址：嘉義縣鹿草鄉松竹村89-1號,3751833  3650906 3753021 0937306930
體育,嘉義縣太保市體育會,涂南昌,嘉義縣太保市太保里31號,3711698  3711075 0928701295
體育,嘉義縣水上鄉體育會,王勇安,嘉義縣水上鄉三鎮村南靖車站50號,2686968   F:2681616
體育,嘉義縣中埔鄉體育會,黃嘉祥,嘉義縣中埔鄉中埔村11鄰75-6號,2531422  2531002 聯:2530351
體育,嘉義縣竹崎鄉體育會,陳宏吉,嘉義縣竹崎鄉中山路66巷12號,05-2614792
體育,嘉義縣梅山鄉體育會,劉世承,嘉義縣梅山鄉新興路276號,0932593161 0972924326 2621047-16
體育,嘉義縣番路鄉體育會,林清根,嘉義縣番路鄉下坑村2鄰菜公店36之4號,2593081 0919145210  2591127
體育,嘉義縣阿里山鄉體育會,汪大華,嘉義縣阿里山鄉山美村四鄰61號,2586520 0928780500
體育,嘉義縣山岳協會,黃石吟,嘉義縣朴子市大鄉里24鄰大?榔179號之16,2253654  2224874  0919796032 0955509136
體育,中華民國太極拳總會嘉義縣協會,周榮焜,嘉義縣大林鎮西林里中正路441號,0910064598 2659046 0920508058
體育,嘉義縣中華外內丹功研究學會,林錦風,嘉義縣太保市安仁里7鄰19號,2605237  3792023 3623055 0912128169
體育,嘉義縣國武術會,楊永豐,嘉義市新建街163巷72號,2360792  2368155 
體育,嘉義縣射擊協會,羅士洋,嘉義縣中埔鄉中埔村80-51號,2538888 0932890177
體育,嘉義縣竹崎游泳協會,劉順國,嘉義縣竹崎鄉義仁村竹民路266號,2111625    2612328 0928347188
體育,嘉義縣阿里山射擊協會,郭晉睿,嘉義縣番路鄉下坑村8鄰34-2號,2300699 0937476814
體育,嘉義縣四季游泳協會,何長憲,嘉義縣新港鄉中正路133號,3743558  3771259 0911642377 0921553522
體育,嘉義縣武術競技協會,劉興宗,嘉義縣水上鄉寬士村崎仔頭1之8號,T：05-3746896  F：05-3740515
體育,嘉義縣武術會,謝春風,嘉義縣中埔鄉和興村武德街6號,2392832   F:2303753
體育,嘉義縣體育運動舞蹈學會,黃豐收,嘉義縣水上鄉龍德村11指厝75-30號,3798942  0956066308 0937358456
體育,嘉義縣祥和游泳協會,許德南,嘉義縣朴子市永和里應菜埔137號,3792891 0936357060 0935492815
體育,嘉義縣中華元極舞協會,李劉富美,嘉義縣竹崎鄉中和村奮起湖150號,2561336 0933588590
體育,嘉義縣梅山游泳協會,林志龍,嘉義縣梅山鄉梅東村中山路28-1號,FAX:05-2623170     0988531177  0921286731
體育,嘉義縣朴子游泳協會,蔡永煌,嘉義縣朴子市黎明路82-17號,3792711 3793702 0937609971
體育,嘉義縣世界土風舞協會,張碧枝,嘉義縣太保市後潭里409號,05-2260487  3712888 
體育,嘉義縣拂曉單車協會,黃玲華,嘉義縣朴子市向榮路61號,3792711     理:3792131
體育,嘉義縣民雄游泳協會,劉振炎,嘉義縣民雄鄉西安村西安路112之1號,2260215  F2260219
體育,嘉義縣武學武術研究發展協會,賴文章,嘉義縣大林鎮排子路1-7號,2696347
體育,嘉義縣大揚運動舞蹈協會,葉明杉,嘉義縣太保市麻寮里中山路二段170巷9號,2373402 0933280082 0928867169
體育,嘉義縣槌球協會,張秀桃,嘉義縣竹崎鄉灣橋340巷22號,2791492 0922791492
體育,嘉義縣民俗技藝發展協會,林伯銓,嘉義縣六腳鄉蒜南村74號之74,3806800  093338961 0935747142
體育,嘉義縣楊太極武藝協會,涂道明,嘉義縣朴子市北通路41號,9287905 093730048
體育,嘉義縣中山射擊協會,許智凱,聯:中埔鄉中華路852號,2396605 0930291426
體育,嘉義縣遊憩協會,林明傑,嘉義縣布袋鎮岑海里新南路201號,347-7899 0927386839 0921557668
體育,嘉義縣大埔鄉體育會,李王英俊,嘉義縣大埔鄉大埔村165之5號,2521067
體育,嘉義縣足球協會,莊榮讚,嘉義縣溪口鄉游東村14-1號,05-3711012轉111 0937650312
體育,嘉義縣幼兒體能發展協會,陳宜岳,嘉義縣朴子市仁和里1鄰仁和二路8之116號,05-3805806   F:05-3803028
體育,嘉義縣戶外運動休閒協會,陳宜岳,嘉義縣朴子市平和路7號,05-3661001   0981285111
體育,嘉義縣慢速壘球協會,葉純汎,嘉義縣大林鎮民權路40號,05-2641960 0912745373
體育,嘉義縣祥和世界傳統舞蹈協會,呂璧蓮,嘉義縣朴子市佳和里東安寮1號,05-3694269
體育,嘉義縣易筋經養生功法推廣協會,廖俊裕,嘉義縣太保市北港路2段601巷88號2樓,0939926685
體育,嘉義縣排球協會,何基祥,嘉義縣新港鄉中正路124巷1-1號,09055636759
體育,嘉義縣全民網球運動發展協會,賴怡妙,嘉義縣朴子市永和里37-13號,08-7342733
體育,嘉義縣新港地面高爾夫推展協會,郭坤池,新港鄉中正路124巷2-4號,3745663 0919791119
體育,社團法人嘉義縣愛分享體育協會,郭文昌,嘉義縣民雄鄉建國二路142之158號,0936387011
體育,嘉義縣老塗獅傳統武獅發展協會,廖杏蓉,嘉義縣新港鄉共和村頂菜園27號,0932589000
體育,嘉義縣金春山勤習堂民俗運動推廣協會,王明中,嘉義縣民雄鄉西安村進興街132-1號,2067750 0955620755
體育,嘉義縣體育運動志工協會,劉守仁,嘉義縣鹿草鄉下潭村76-8號,0937761392 0919699626 0911739299
經濟,嘉義縣國蘭協會,李明闊,嘉義縣民雄鄉建國路二段146之40號,2594562   0928358997
經濟,嘉義縣養雞協會,吳永賜),嘉義縣朴子市梅華里3之27號,3692739    3622713
經濟,嘉義縣四健會協會,簡維佐,嘉義市博愛路2段459號,2360311-20  2264553晚
經濟,嘉義縣水稻育苗技術協進會,江炯富,嘉義縣大林鎮溝背里尾厝18號,3752931   F:2380185 0919899713
經濟,嘉義縣盆栽藝術協會,謝正華,嘉義縣義竹鄉傳芳村474-23號,3411491 0939892952 0920636570
經濟,嘉義縣漁民權益促進會,蔡勝興,布袋鎮岑海里新北一街77號,3476228 3472620
經濟,嘉義縣雜糧作物代耕協會,陳輝良,六腳鄉灣北村7鄰225號,3803652 0937658401
經濟,嘉義縣農民權益促進會,柳道宗,嘉義縣六腳鄉溪厝村60號,3802365  F:2626341  0921518365
經濟,嘉義縣愛鴿協會,黃榮福,嘉義縣六腳鄉六斗村六斗尾236號,2782610  7812373
經濟,嘉義縣保護野生動物協會,董象,嘉義縣太保市南新里中山路1段253號,2380265
經濟,嘉義縣電子琴協進會,林濺猛,嘉義縣新港鄉西庄村80之1號,3742892
經濟,嘉義縣養豬事業發展協會,張豐欣,嘉義縣朴子市竹村里鴨母寮531號,3691120 3453747
經濟,嘉義縣樹石藝術協會,陳志源,嘉義縣水上鄉下寮村24-21號,2869102  2362426
經濟,嘉義縣觀光協會,張明達,嘉義縣番路鄉下坑村菜公店36-4號,05-22592926   FAX:05-2590700 0935013555
經濟,嘉義縣漁港觀光協會,蔡目軌,嘉義縣布袋鎮岑海里新西路145號,3478347
經濟,嘉義縣資源再利用研究發展協會,賴慶煌,嘉義縣水上鄉水上村華林52號,2687697
經濟,嘉義縣蛋雞發展協進會,陳金川,嘉義縣東石鄉龍港村10號,3692528
經濟,嘉義縣林農權益促進協會,盧豐章,番路鄉草山村6鄰永興22-1號,2931119  2931020
經濟,嘉義縣東石漁人碼頭商圈發展協會,郭瑞坤,嘉義縣東石鄉猿樹村154號之12   ,3732579 0988589578 3734897
經濟,嘉義縣養殖漁業生產區發展協會,陳振崑,嘉義縣義竹鄉新店村2-6號,3427586 093299418
經濟,嘉義縣觀光商展業者協會,伍志享,嘉義縣朴子市南通路3段738號,3693459
經濟,嘉義縣中埔文化觀光產業促進協會,何光龍,嘉義縣中埔鄉和美村中山新村451號,2396300
經濟,嘉義縣鄒族文化產業發展協會,楊光輝,嘉義市蘭州五街158號,2857400   2852198
經濟,嘉義縣北勢文化發展協會,劉炯意,嘉義縣大林鎮三角里北勢30號,2777327 0933363277
經濟,社團法人嘉義縣菸農聯合會,賴芳德,嘉義縣民雄鄉東榮村文化路24-1號,2791100 2260502
經濟,嘉義縣刺繡文化學會,黃慧欽,嘉義縣朴子市文明路10號,3660985 0932719695
經濟,嘉義縣阿里山休閒農業發展協會,郭春美,嘉義縣阿里山鄉中和村石棹19-57號,2561523 0937357609
經濟,嘉義縣綠繡眼保護協會,張銘益,嘉義縣民雄鄉福樂村402號,2219596
經濟,嘉義縣新港文化休閒產業發展協會,陳文忠,嘉義縣新港鄉嘉北路23之6號,3747898
經濟,嘉義縣諸羅養殖漁業產銷發展協會,戴武雄,嘉義縣東石鄉塭仔村120號,3453721   F:3454395
經濟,社團法人嘉義縣民宿發展協會,劉寧源,嘉義縣竹崎鄉中和村石棹18鄰4號 ,05-2586905    F:05-2562330
經濟,嘉義縣鄒族部落休閒產業協會,梁錦德,嘉義縣阿里山鄉樂野村1鄰16號,2562347
經濟,嘉義縣板陶窯文化發展協會,謝東裕,嘉義縣新港鄉板頭村板頭厝45之1號,05-7810832   0931948157
經濟,嘉義縣朴子魅力商圈發展協會,黃基全,:朴子市光復路38號,3792404 0936400255
經濟,嘉義縣新港魅力商圈協會,林秋桂,嘉義縣新港鄉菜公村菜公厝67-2號,3746422    0920653993 3745026
