公廁編號,公廁名稱,地址或地點描述,主管機關,備註說明,管理單位名稱,管理單位聯絡電話,建檔日期,啟用日期,緯度,經度,原始公廁級別,最新公廁級別,建檔狀態,建檔類別,公廁類別,縣市代碼,鄉鎮代碼,村里代碼,縣市名稱,鄉鎮名稱,村里名稱,上傳圖片,異動日期
1001001001-H-00007,嘉義高鐵站二樓男廁,嘉義縣太保市太保里高鐵西路168號,交通部,,台灣高鐵股份有限公司,05-3107000,2015/6/12 下午 05:59:00,2016/7/11 上午 11:39:00,23.45877155,120.3235173,特優級,特優級,啟用,公廁,高鐵,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/7/11 上午 11:39:00
1001001001-H-00008,嘉義高鐵站二樓女廁,嘉義縣太保市太保里高鐵西路168號,交通部,,台灣高鐵股份有限公司,05-3107000,2015/6/12 下午 05:59:00,2016/7/11 上午 11:39:00,23.45877155,120.3235173,特優級,特優級,啟用,公廁,高鐵,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/7/11 上午 11:39:00
1001001001-H-00009,嘉義高鐵站二樓無障礙公廁,嘉義縣太保市太保里高鐵西路168號,交通部,,台灣高鐵股份有限公司,05-3107000,2015/6/12 下午 05:59:00,2016/7/11 上午 11:39:00,23.45873218,120.3240323,特優級,特優級,啟用,公廁,高鐵,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/7/11 上午 11:39:00
1001001001-H-00010,嘉義高鐵站第一月台男廁,嘉義縣太保市太保里高鐵西路168號,交通部,,台灣高鐵股份有限公司,05-3107000,2015/6/12 下午 05:59:00,2016/7/11 上午 11:40:00,23.45877155,120.3240323,特優級,特優級,啟用,公廁,高鐵,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/7/11 上午 11:40:00
1001001001-H-00011,嘉義高鐵站第一月台女廁,嘉義縣太保市太保里高鐵西路168號,交通部,,台灣高鐵股份有限公司,05-3107000,2016/2/22 上午 11:15:00,2016/7/11 上午 11:40:00,23.45930105,120.3227878,特優級,特優級,啟用,公廁,高鐵,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/7/11 上午 11:40:00
1001001001-H-00012,嘉義高鐵站第二月台男廁,嘉義縣太保市太保里高鐵西路168號,交通部,,台灣高鐵股份有限公司,05-3107000,2016/2/22 上午 11:19:00,2016/7/11 上午 11:40:00,23.45953726,120.3233886,特優級,特優級,啟用,公廁,高鐵,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/7/11 上午 11:40:00
1001001001-H-00013,嘉義高鐵站第二月台女廁,嘉義縣太保市太保里高鐵西路168號,交通部,,台灣高鐵股份有限公司,05-3107000,2016/2/22 上午 11:22:00,2016/7/11 上午 11:40:00,23.45956154,120.3235602,特優級,特優級,啟用,公廁,高鐵,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/7/11 上午 11:40:00
1001001001-L-00001,統一超商祥和門市,嘉義縣太保市太保里太保四六之一號,,統一超商股份有限公司,統一超商股份有限公司,05-3713445,2012/3/1 上午 09:00:00,2012/3/1 上午 09:00:00,23.4559042,120.3321147,優等級,優等級,啟用,公廁,超市,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2013/1/11 下午 12:00:00
1001001001-T-00001,太保國民小學L型教學大樓前棟1F,嘉義縣太保市太保里太保31號,教育部,,教育處,05-3711015,2009/5/11 上午 10:56:00,2016/2/24 上午 08:46:00,23.45521524,120.3308916,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/2/24 上午 08:46:00
1001001001-T-00002,太保國民小學L型教學大樓前棟2F,嘉義縣太保市太保里太保31號,教育部,,教育處,05-3711015,2009/5/11 上午 11:10:00,2016/2/24 上午 08:50:00,23.45521524,120.3308916,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/2/24 上午 08:50:00
1001001001-T-00003,太保國民小學幼兒園外廁所,嘉義縣太保市太保里太保31號,教育部,,教育處,05-3711015,2009/5/11 上午 11:12:00,2016/2/24 上午 08:47:00,23.45521524,120.3308916,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/2/24 上午 08:47:00
1001001001-T-00004,太保國民小學L型教學大樓後棟1F,嘉義縣太保市太保里太保31號,教育部,,教育處,05-3711015,2009/5/11 上午 11:14:00,2016/2/24 上午 08:48:00,23.45521524,120.3308916,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/2/24 上午 08:48:00
1001001001-T-00005,太保國民小學L型教學大樓後棟2F,嘉義縣太保市太保里太保31號,教育部,,教育處,05-3711015,2009/5/11 上午 11:15:00,2016/2/24 上午 08:49:00,23.45521524,120.3308916,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/2/24 上午 08:49:00
1001001001-T-00006,太保國民小學辦公室1F,嘉義縣太保市太保里太保31號,教育部,,教育處,05-3711015,2009/5/11 上午 11:32:00,2009/5/11 上午 11:32:00,23.45521524,120.3308916,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2013/1/11 下午 12:00:00
1001001001-T-00007,太保國民小學辦公室2F,嘉義縣太保市太保里太保31號,教育部,,教育處,05-3711015,2009/5/11 上午 11:34:00,2009/5/11 上午 11:34:00,23.45521524,120.3308916,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2013/1/11 下午 12:00:00
1001001001-T-00008,太保國民小學辦公室3F,嘉義縣太保市太保里太保31號,教育部,,教育處,05-3711015,2009/5/11 上午 11:35:00,2009/5/11 上午 11:35:00,23.45521524,120.3308916,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2013/1/11 下午 12:00:00
1001001001-T-00009,太保國民小學體育館,嘉義縣太保市太保里太保31號,教育部,,教育處,05-3711015,2009/5/11 上午 11:36:00,2009/5/11 上午 11:36:00,23.45521524,120.3308916,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2013/1/11 下午 12:00:00
1001001001-T-00010,太保國中永慶樓1F女廁,嘉義縣太保市太保里36號,教育部,,太保國中,05-3711029,2014/12/2 下午 02:52:00,2014/12/2 下午 02:52:00,23.45494752,120.3309689,特優級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2014/12/2 下午 02:51:00
1001001001-T-00011,太保國中永慶樓1F男廁,嘉義縣太保市太保里36號,教育部,,太保國中,05-3711029,2014/12/2 下午 02:52:00,2015/10/28 上午 09:04:00,23.45479005,120.3310118,特優級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2015/10/28 上午 09:04:00
1001001001-T-00012,太保國中永慶樓2F女廁,嘉義縣太保市太保里36號,教育部,,太保國中,05-3711029,2014/12/2 下午 02:52:00,2015/10/28 上午 09:04:00,23.45479005,120.3309259,特優級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2015/10/28 上午 09:04:00
1001001001-T-00013,太保國中永慶樓2F男廁,嘉義縣太保市太保里36號,教育部,,太保國中,05-3711029,2014/12/2 下午 02:53:00,2015/10/28 上午 09:04:00,23.45481367,120.3309259,特優級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2015/10/28 上午 09:04:00
1001001001-T-00014,太保國中永慶樓3F女廁,嘉義縣太保市太保里36號,教育部,,太保國中,05-3711029,2014/12/2 下午 02:58:00,2015/10/28 上午 09:05:00,23.45463257,120.330883,特優級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2015/10/28 上午 09:05:00
1001001001-T-00015,太保國中永慶樓3F男廁,嘉義縣太保市太保里36號,教育部,,太保國中,05-3711029,2014/12/2 下午 02:58:00,2015/10/28 上午 09:06:00,23.45463257,120.330883,特優級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2015/10/28 上午 09:06:00
1001001001-T-00016,太保國中永慶樓4F女廁,嘉義縣太保市太保里36號,教育部,,太保國中,05-3711029,2014/12/2 下午 02:58:00,2015/10/28 上午 09:06:00,23.45482942,120.330883,特優級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2015/10/28 上午 09:06:00
1001001001-T-00017,太保國中永慶樓4F男廁,嘉義縣太保市太保里36號,教育部,,太保國中,05-3711029,2014/12/2 下午 02:58:00,2015/10/28 上午 09:07:00,23.45475068,120.330883,特優級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2015/10/28 上午 09:07:00
1001001001-T-00018,太保國中菁莪樓1F,嘉義縣太保市太保里36號,教育部,,太保國中,05-3711029,2014/12/2 下午 02:58:00,2014/12/2 下午 03:15:00,23.45480579,120.3309259,特優級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2014/12/2 下午 03:15:00
1001001001-T-00019,太保國中活動中心,嘉義縣太保市太保里36號,教育部,,太保國中,05-3711029,2014/12/2 下午 03:02:00,2014/12/2 下午 03:25:00,23.45486879,120.3310976,特優級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2014/12/2 下午 03:25:00
1001001001-Y-00052,社會處1樓男廁,嘉義縣太保市祥和新村祥和二路東段1號,縣市政府,,社會處,05-3620900,2010/6/18 上午 10:50:00,2013/5/20 下午 05:05:00,23.4547428,120.2913666,優等級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001018,嘉義縣,太保市,安仁里,否,2013/5/20 下午 05:05:00
1001001001-Y-00053,社會處1樓女廁,嘉義縣太保市祥和新村祥和二路東段1號,縣市政府,,社會處勞工行政科,05-3620900,2010/6/18 上午 10:50:00,2013/5/20 下午 05:07:00,23.4547428,120.2913666,優等級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001018,嘉義縣,太保市,安仁里,否,2013/5/20 下午 05:08:00
1001001001-Y-00054,社會處1樓大禮堂男廁,嘉義縣太保市祥和新村祥和二路東段1號,縣市政府,,社會處,05-3620900,2010/6/18 上午 10:50:00,2013/5/20 下午 05:05:00,23.4547428,120.2913666,優等級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001018,嘉義縣,太保市,安仁里,否,2013/5/20 下午 05:06:00
1001001001-Y-00055,社會處1樓大禮堂女廁,嘉義縣太保市祥和新村祥和二路東段1號,縣市政府,,社會處,05-3620900,2010/6/18 上午 10:50:00,2013/5/20 下午 05:08:00,23.4547428,120.2913666,優等級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001018,嘉義縣,太保市,安仁里,否,2013/5/20 下午 05:09:00
1001001001-Y-00056,嘉義縣社會處2F男廁,嘉義縣太保市祥和二路東段一號,縣市政府,,嘉義縣社會處,05-3620900,2010/6/18 上午 10:55:00,2013/5/20 下午 05:09:00,23.45734116,120.2940702,優等級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001018,嘉義縣,太保市,安仁里,否,2013/5/20 下午 05:09:00
1001001001-Y-00057,嘉義縣社會處2F女廁,嘉義縣太保市安仁里,縣市政府,,嘉義縣社會處,05-3620900,2010/6/18 上午 10:55:00,2013/5/20 下午 05:10:00,23.4574199,120.2940273,優等級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001018,嘉義縣,太保市,安仁里,否,2013/5/20 下午 05:10:00
1001001001-Y-00058,嘉義縣社會處3F男廁,嘉義縣太保市安仁里祥和二路東段一號,縣市政府,,嘉義縣社會處,05-3620900,2010/6/18 上午 11:00:00,2013/5/20 下午 05:10:00,23.45743958,120.2937055,優等級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001018,嘉義縣,太保市,安仁里,否,2013/5/20 下午 05:11:00
1001001001-Y-00059,嘉義縣社會處3F女廁,嘉義縣太保市安仁里,縣市政府,,嘉義縣社會處,05-3620900,2010/6/18 上午 11:00:00,2013/5/20 下午 05:06:00,23.45738053,120.2936411,優等級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001018,嘉義縣,太保市,安仁里,否,2013/5/20 下午 05:07:00
1001001001-Y-00060,太保市公所一樓男廁,嘉義縣太保市太保里66號,縣市政府,,太保市公所,05-3711106,2016/3/2 上午 12:37:00,2016/3/2 上午 12:37:00,23.45897889,120.332428,特優級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/3/2 上午 12:37:00
1001001001-Y-00061,太保市公所一樓女廁,嘉義縣太保市太保里66號,縣市政府,,太保市公所,05-3711106,2016/3/2 上午 12:40:00,2016/3/2 上午 12:40:00,23.45904975,120.3325138,特優級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/3/2 上午 12:40:00
1001001001-Y-00062,太保市公所二樓男廁,嘉義縣太保市太保里66號,縣市政府,,太保市公所,05-3711106,2016/3/2 上午 12:41:00,2016/3/2 上午 12:41:00,23.45897102,120.3324709,特優級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/3/2 上午 12:41:00
1001001001-Y-00063,太保市公所二樓女廁,嘉義縣太保市太保里66號,縣市政府,,太保市公所,05-3711106,2016/3/2 上午 12:43:00,2016/3/2 上午 12:43:00,23.45890015,120.332428,特優級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/3/2 上午 12:43:00
1001001002-X-00001,保安宮公廁,嘉義縣太保市後庄里2鄰18號,,保安宮,保安宮管理委員會,05-3714714,2015/10/12 上午 10:01:00,2015/10/12 上午 10:01:00,23.47000087,120.3273618,特優級,特優級,啟用,公廁,寺廟教堂等宗教活動場所,10010,1001001,1001001002,嘉義縣,太保市,後庄里,否,2015/10/12 上午 10:01:00
1001001002-X-00002,保安宮公廁,嘉義縣太保市後庄里2鄰18號,,保安宮,保安宮管理委員會,05-3714714,2015/10/12 上午 10:01:00,2015/10/12 上午 10:01:00,23.47000087,120.3273618,特優級,特優級,啟用,公廁,寺廟教堂等宗教活動場所,10010,1001001,1001001002,嘉義縣,太保市,後庄里,否,2015/10/12 上午 10:01:00
1001001002-Y-00022,太保戶政事務所廁所,嘉義縣太保市太保里22號,縣市政府,,太保戶政事務所,05-3711081,2010/7/12 上午 09:30:00,2013/5/20 下午 05:00:00,23.45415226,120.3321576,特優級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2013/5/20 下午 05:01:00
1001001002-Y-00023,太保消防隊,嘉義縣太保市太保里22號,縣市政府,,消防隊,05-3711555,2010/7/12 上午 09:45:00,2013/5/20 下午 05:01:00,23.4547428,120.3305054,特優級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2013/5/20 下午 05:02:00
1001001002-Y-00024,太保市衛生所男廁,嘉義縣市太保市後潭里443號,縣市政府,,太保市衛生所,05-3711273,2010/7/12 上午 10:00:00,2016/7/11 上午 11:44:00,23.45285306,120.3395176,特優級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001004,嘉義縣,太保市,後潭里,否,2016/7/11 上午 11:44:00
1001001002-Y-00025,太保市衛生所女廁,嘉義縣市太保市後潭里443號,縣市政府,,太保市衛生所,05-3711273,2010/7/12 上午 10:00:00,2013/5/20 下午 05:38:00,23.45285306,120.3395176,特優級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001004,嘉義縣,太保市,後潭里,否,2013/5/20 下午 05:38:00
1001001002-Y-00026,太保市衛生所殘障廁所,嘉義縣市太保市後潭里443號,縣市政府,,太保市衛生所,05-3711273,2010/7/12 上午 10:00:00,2013/5/20 下午 05:04:00,23.45277432,120.3394318,特優級,特優級,啟用,公廁,公家機關設置供民眾使用者,10010,1001001,1001001004,嘉義縣,太保市,後潭里,否,2013/5/20 下午 05:04:00
1001001003-X-00001,平安宮男廁,太保市前潭里九鄰325號,,平安宮,平安宮管委會,05-3711106,2011/9/27 下午 02:16:00,2011/9/27 下午 02:16:00,23.45324676,120.3437662,特優級,特優級,啟用,公廁,寺廟教堂等宗教活動場所,10010,1001001,1001001003,嘉義縣,太保市,前潭里,否,2013/1/11 下午 12:00:00
1001001003-X-00002,平安宮女廁,太保市前潭里九鄰325號,,平安宮,平安宮管委會,05-3714626,2011/9/27 下午 02:23:00,2011/9/27 下午 02:23:00,23.45493965,120.3445387,優等級,特優級,啟用,公廁,寺廟教堂等宗教活動場所,10010,1001001,1001001003,嘉義縣,太保市,前潭里,否,2013/1/11 下午 12:00:00
1001001004-A-00001,太保停車場男廁,太保市後潭段下庄小段237-5號,縣市政府,太保市公所,太保市公所,05-3716130,2008/11/24 上午 12:00:00,2008/11/24 上午 12:00:00,23.44911,120.33492,優等級,特優級,啟用,公廁,公路車站服務區及休息站,10010,1001001,1001001004,嘉義縣,太保市,後潭里,否,2013/1/11 下午 12:00:00
1001001004-A-00002,太保停車場女廁,太保市後潭段下庄小段237-5號,縣市政府,太保市公所,太保公所,05-3716000,2011/7/22 上午 10:49:00,2011/7/22 上午 10:49:00,23.4498609,120.3304625,普通級,特優級,啟用,公廁,公路車站服務區及休息站,10010,1001001,1001001004,嘉義縣,太保市,後潭里,否,2013/1/11 下午 12:00:00
1001001006-C-00040,太保加油站男廁,嘉義縣太保市春珠里8鄰178號,經濟部,台灣中油股份有限公司,台灣中油股份有限公司,05-3711635,2009/9/3 上午 10:24:00,2009/9/3 上午 10:24:00,23.45285,120.33863,優等級,特優級,啟用,公廁,加油站,10010,1001001,1001001006,嘉義縣,太保市,春珠里,否,2013/1/11 下午 12:00:00
1001001006-C-00041,太保加油站女廁,嘉義縣太保市春珠里8鄰178號,經濟部,台灣中油股份有限公司,台灣中油股份有限公司,05-3716000,2011/7/22 上午 10:47:00,2013/8/19 下午 06:31:00,23.4460025,120.319047,優等級,特優級,啟用,公廁,加油站,10010,1001001,1001001006,嘉義縣,太保市,春珠里,否,2013/8/19 下午 06:32:00
1001001007-T-00011,安東國小新設大樓西側1F男廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:20:00,2012/7/2 下午 05:18:00,23.4581679,120.3080606,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00012,安東國小新設大樓西側1F女廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:19:00,2012/7/2 下午 05:14:00,23.4581679,120.3077173,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00013,安東國小新設大樓西側1F殘廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:21:00,2012/7/2 下午 05:20:00,23.45808916,120.3076744,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00014,安東國小新設大樓西側2F男廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:23:00,2012/7/2 下午 05:22:00,23.45824664,120.3079319,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00015,安東國小新設大樓西側2F女廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:22:00,2012/7/2 下午 05:21:00,23.45824664,120.3080177,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00016,安東國小新設大樓西側2F殘廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:25:00,2012/7/2 下午 05:23:00,23.45824664,120.3080606,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00017,安東國小新設大樓西側3F男廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:27:00,2012/7/2 下午 05:25:00,23.4581679,120.3079319,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00018,安東國小新設大樓西側3F女廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:26:00,2012/7/2 下午 05:24:00,23.45812853,120.3079748,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00019,安東國小新設大樓東側1F男廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:30:00,2012/7/2 下午 05:36:00,23.45832538,120.3079319,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00020,安東國小新設大樓東側1F女廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:28:00,2012/7/2 下午 05:26:00,23.45808916,120.3081036,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00021,安東國小新設大樓東側2F男廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:33:00,2012/7/2 下午 05:31:00,23.45836474,120.3081036,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00022,安東國小新設大樓東側2F女廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:31:00,2012/7/2 下午 05:30:00,23.45820727,120.3079319,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00023,安東國小新設大樓東側3F男廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:35:00,2012/7/2 下午 05:33:00,23.45824664,120.3080177,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00024,安東國小新設大樓東側3F女廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:34:00,2012/7/2 下午 05:32:00,23.45832538,120.3075886,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
1001001007-T-00025,安東國小新設大樓東側3F殘廁,嘉義縣太保市崙頂里1號,教育部,,教育處,05-3714068,2012/7/2 下午 05:36:00,2012/7/2 下午 05:34:00,23.45824664,120.3081465,優等級,特優級,啟用,公廁,各級機關學校,10010,1001001,1001001007,嘉義縣,太保市,崙頂里,否,2013/1/11 下午 12:00:00
