分區,縣市,醫療院所,服務項目-藥癮,服務項目-酒癮,地址,聯絡電話,指定類別
臺北區,新北市,財團法人基督教長老教會馬偕紀念醫院淡水分院,門診、住院、丁基原啡因替代治療,門診、住院,新北市淡水區民生路45號,02-28094661,藥癮戒治醫院
臺北區,新北市,衛生福利部八里療養院,門診、住院,無,新北市八里區華富山33號,02-26101660,藥癮戒治核心醫院
臺北區,新北市,北新醫院,門診,門診,新北市淡水區忠寮里演戲埔腳1之2號,02-26209199,藥癮戒治診所
臺北區,新北市,行天宮醫療志業醫療財團法人恩主公醫院,門診、替代治療,門診,新北市三峽區復興路399號,02-26723456,藥癮戒治醫院
臺北區,新北市,衛生福利部雙和醫院(委託臺北醫學大學興建經營),門診、住院、丁基原啡因替代治療,門診、住院,新北市中和區中正路291號,02-22490088,藥癮戒治醫院
臺北區,新北市,財團法人佛教慈濟綜合醫院台北分院,門診、住院、丁基原啡因替代治療,門診、住院,新北市新店區建國路289號,02-66289779,藥癮戒治醫院
臺北區,新北市,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,門診、替代治療,無,新北市板橋區南雅南路2段21號,02-89667000,藥癮戒治醫院
臺北區,新北市,國泰醫療財團法人汐止國泰綜合醫院,門診、住院,門診、住院,新北市汐止區建成路59巷2號,02-26482121,藥癮戒治醫院
臺北區,新北市,永康身心診所,門診,無,新北市土城區裕民路82號,02-22730199,藥癮戒治診所
臺北區,新北市,安興精神科診所,門診,門診,新北市三重區重新路三段132號,02-29743029,藥癮戒治診所
臺北區,宜蘭縣,海天醫療社團法人海天醫院,門診,門診,宜蘭縣壯圍鄉古亭村（路）23-9號,03-9308010,藥癮戒治醫院
臺北區,宜蘭縣,財團法人天主教靈醫會羅東聖母醫院,門診、替代治療,門診,宜蘭縣羅東鎮中正南路160號,03-9544106,藥癮戒治醫院
臺北區,宜蘭縣,國立陽明大學附設醫院,門診、替代治療,門診,宜蘭縣宜蘭市新民路160號,03-9325192,藥癮戒治醫院
臺北區,宜蘭縣,醫療財團法人羅許基金會羅東博愛醫院,門診、替代治療,門診,宜蘭縣羅東鎮南昌街81-83號,03-9543131,藥癮戒治醫院
臺北區,宜蘭縣,臺北榮民總醫院員山分院,門診、住院、丁基原啡因替代治療,門診、住院,宜蘭縣員山鄉內城村榮光路386號,03-9222141,藥癮戒治醫院
臺北區,宜蘭縣,臺北榮民總醫院蘇澳分院,門診、住院、丁基原啡因替代治療,門診、住院,宜蘭縣蘇澳鎮濱海路301號,03-9905106,藥癮戒治醫院
臺北區,宜蘭縣,宜蘭普門醫療財團法人普門醫院,門診,門診、住院,宜蘭縣員山鄉深溝村尚深路91號,03-9220292,藥癮戒治醫院
臺北區,基隆市,衛生福利部基隆醫院,門診、住院、替代治療,門診、住院,基隆市信義區信二路268號,02-24259391,藥癮戒治醫院
臺北區,基隆市,長庚醫療財團法人基隆長庚紀念醫院,門診、住院、替代治療,門診、住院、酒癮家暴處遇治療,基隆市安樂區麥金路222號,02-24313131,藥癮戒治醫院
臺北區,基隆市,維德醫療社團法人基隆維德醫院,門診、住院、丁基原啡因替代治療,門診、住院,基隆市中正區調和街210號,02-24696688,藥癮戒治醫院
臺北區,基隆市,暘基醫院,門診,門診、住院,基隆市安樂區基金一路129巷8號,02-24322522,藥癮戒治醫院
臺北區,金門縣,衛生福利部金門醫院,門診、替代治療,無,金門縣金湖鎮新市里復興路2號,082-332546,藥癮戒治醫院
臺北區,連江縣,連江縣立醫院,門診,無,連江縣南竿鄉復興村217號,083-623995,藥癮戒治診所
北區,新竹縣,國立臺灣大學醫學院附設醫院竹東分院,門診、住院、替代治療,門診、住院,新竹縣竹東鎮至善路52號,03-5943248,藥癮戒治核心醫院
北區,新竹縣,臺北榮民總醫院新竹分院,門診、住院、丁基原啡因替代治療,門診、住院,新竹縣竹東鎮中豐路一段81號,03-5962134轉625,藥癮戒治醫院
北區,新竹縣,天主教仁慈醫療財團法人仁慈醫院,門診、住院、丁基原啡因替代治療,門診、住院,新竹縣湖口鄉忠孝路29號,03-5993500,藥癮戒治醫院
北區,新竹縣,培靈關西醫院,門診、住院,無,新竹縣關西鎮新富里11鄰石門33之1號,03-5476399,藥癮戒治醫院
北區,新竹縣,陽光精神科診所,門診、丁基原啡因替代治療,無,新竹縣竹東鎮東榮路2號1樓,03-5942371,藥癮戒治診所
北區,桃園市,衛生福利部桃園療養院,門診、住院、替代治療,門診、住院,桃園市龍壽街71號,03-3698553,藥癮戒治核心醫院
北區,桃園市,臺北榮民總醫院桃園分院,替代治療,無,桃園市成功路三段100號,03-3384889,藥癮戒治醫院
北區,桃園市,國軍桃園總醫院,門診、替代治療,無,桃園市龍潭區中興路168號,03-4799595,藥癮戒治醫院
北區,桃園市,長庚醫療財團法人桃園長庚紀念醫院,門診,門診,桃園市龜山區舊路村頂湖路123號,03-3281200,藥癮戒治醫院
北區,桃園市,長庚醫療財團法人林口長庚紀念醫院,門診、住院、丁基原啡因替代治療,門診、住院,桃園市龜山區復興街5號,03-3281200,藥癮戒治醫院
北區,桃園市,楊延壽診所,門診、丁基原啡因替代治療,無,桃園市龍潭區中正路298號,03-4899242,藥癮戒治診所
北區,桃園市,敏盛綜合醫院,門診,門診,桃園市經國路168號,03-3179599,藥癮戒治診所
北區,桃園市,晨暘診所,門診,無,桃園市桃園區寶山街235號,03-3117733,藥癮戒治診所
北區,桃園市,居善醫院,門診、丁基原啡因替代治療,門診、住院,桃園市大園區南港村大觀路910號,03-3866511,藥癮戒治醫院
北區,桃園市,周孫元診所,門診、丁基原啡因替代治療,無,桃園市桃園區龍城五街62號,03-3792260,藥癮戒治診所
北區,新竹市,國立臺灣大學醫學院附設醫院新竹分院,門診、替代治療,住院,新竹市東區經國路一段442巷25號,03-5326151,藥癮戒治醫院
北區,新竹市,國軍新竹地區醫院附設民眾診療處,門診、住院、丁基原啡因替代治療,門診、住院,新竹市北區武陵路3號,03-5348181,藥癮戒治醫院
北區,新竹市,財團法人馬偕紀念醫院新竹分院,門診、丁基原啡因替代治療,無,新竹市光復路二段690號,03-6119595,藥癮戒治醫院
北區,新竹市,林正修診所,門診、丁基原啡因替代治療,無,新竹市新光路38號,03-5166746,藥癮戒治診所
北區,苗栗縣,財團法人為恭紀念醫院,門診、住院、替代治療,門診、住院,苗栗縣頭份鎮信義路128號,037-676811,藥癮戒治醫院
北區,苗栗縣,大千綜合醫院南勢分院,門診、住院、替代治療,門診、住院,苗栗市南勢里南勢52號,037-369936,藥癮戒治醫院
北區,苗栗縣,衛生福利部苗栗醫院,門診、住院、替代治療,門診、住院,苗栗市為公路747號,037-261920,藥癮戒治醫院
中區,臺中市,臺中榮民總醫院,門診、住院、替代治療,門診、住院,臺中市西屯區中港路3段200號,04-23592525,藥癮戒治核心醫院
中區,臺中市,中國醫藥大學附設醫院,門診、替代治療,門診、住院,臺中市北區育德路2號,04-22052121,藥癮戒治核心醫院
中區,臺中市,中山醫學大學附設醫院中興院區,門診、替代治療,門診,臺中市南區復興路二段11號,04-22621652,藥癮戒治醫院
中區,臺中市,中山醫學大學附設醫院大慶院區,門診、住院、個別心理治療,門診、住院、個別心理治療,臺中市南區建國北路一段110號,04-24739595,藥癮戒治醫院
中區,臺中市,衛生福利部臺中醫院,門診、替代治療,門診、住院,臺中市西區三民路1段199號,04-22294411,藥癮戒治醫院
中區,臺中市,財團法人臺灣省私立臺中仁愛之家附設靜和醫院,門診、住院、丁基原啡因替代治療,門診、住院,臺中市西區南屯路1段158號,04-23711129,藥癮戒治醫院
中區,臺中市,維新醫療社團法人臺中維新醫院,門診、住院、替代治療,門診、住院,臺中市北區育德路185、187號,04-22038585,藥癮戒治醫院
中區,臺中市,宏恩醫院龍安分院,門診、住院、丁基原啡因替代治療,門診、住院,臺中市南區德富路145巷2號,04-26888126,藥癮戒治醫院
中區,臺中市,財團法人佛教慈濟綜合醫院臺中分院,門診、住院、替代治療,門診、住院,臺中市潭子區豐興路一段88號,04-36060666,藥癮戒治醫院
中區,臺中市,光田醫療社團法人光田綜合醫院大甲院區,門診、替代治療,門診、住院,臺中市大甲區經國路321號,04-26888126,藥癮戒治醫院
中區,臺中市,童綜合醫療社團法人童綜合醫院,門診、住院、替代治療,門診、住院,臺中市沙鹿區成功西街8號,04-26626161,藥癮戒治核心醫院
中區,臺中市,衛生福利部豐原醫院,門診、替代治療,門診、住院,臺中市豐原區安康路100號,04-25271180,藥癮戒治醫院
中區,臺中市,國軍臺中總醫院,門診、替代治療,無,臺中市太平區中山路2段348號,04-23934191,藥癮戒治核心醫院
中區,臺中市,陽光精神科醫院,門診、替代治療,門診、住院,臺中市清水區東山路68之1號,04-26202949,藥癮戒治醫院
中區,臺中市,清濱醫院,門診,門診、住院,臺中市清水區港埠路四段195號,04-26283995,藥癮戒治醫院
中區,臺中市,賢德醫院,門診、替代治療,門診、住院,臺中市太平區宜昌路420號,04-23939995轉121,藥癮戒治醫院
中區,臺中市,清海醫院,門診、丁基原啡因替代治療,門診、住院,臺中市石岡區下坑巷41之2號,04-25721694,藥癮戒治醫院
中區,臺中市,澄清綜合醫院中港分院,門診、丁基原啡因替代治療,無,臺中市臺灣大道四段966號,04-24632000轉53626,藥癮戒治醫院
中區,臺中市,林新醫療社團法人林新醫院,門診、丁基原啡因替代治療,無,臺中市南屯區惠中路三段36號,04-22586688,藥癮戒治醫院
中區,臺中市,仁愛醫療財團法人大里仁愛醫院,門診、丁基原啡因替代治療,無,臺中市大里區東榮路483號,04-22511247轉12110,藥癮戒治醫院
中區,臺中市,詹東霖心身診所,門診、丁基原啡因替代治療,無,臺中市中區三民路二段11號,04-22256362,藥癮戒治診所
中區,臺中市,康誠診所,門診、丁基原啡因替代治療,無,臺中市南屯區大墩路705號2樓,04-23103968,藥癮戒治診所
中區,南投縣,埔基醫療財團法人埔里基督教醫院,門診,門診,南投縣埔里鎮鐵山路1號,049-2912151,藥癮戒治診所
中區,南投縣,臺中榮民總醫院埔里分院,門診、替代治療,無,南投縣埔里鎮榮光路1號,049-2990833,藥癮戒治醫院
中區,南投縣,衛生福利部南投醫院,門診、替代治療,無,南投縣南投市康壽里復興路478號,049-2231150,藥癮戒治醫院
中區,南投縣,衛生福利部草屯療養院,門診、住院、替代治療、治療性社區,門診、住院,南投縣草屯鎮玉屏路161號,049-2550800,藥癮戒治核心醫院
中區,彰化縣,衛生福利部彰化醫院,門診、替代治療,門診、住院,彰化縣埔心鄉中正路2段80號,04-8298686,藥癮戒治醫院
中區,彰化縣,彰化基督教醫療財團法人彰化基督教醫院,門診、住院、替代治療,門診、住院,彰化市南校街135號,04-7238595,藥癮戒治醫院
中區,彰化縣,彰化基督教醫療財團法人鹿東基督教醫院,門診、住院、替代治療,門診、住院,彰化縣鹿港鎮鹿東路2段888號,04-7789595,藥癮戒治核心醫院
中區,彰化縣,秀傳醫療社團法人秀傳紀念醫院,門診、替代治療,門診,彰化市中山路1段542號,04-7256166,藥癮戒治醫院
中區,彰化縣,秀傳醫療財團法人彰濱秀傳紀念醫院,門診、住院,門診、住院,彰化縣鹿港鎮鹿工路6號,04-7813888,藥癮戒治醫院
中區,彰化縣,明德醫院,門診、住院,門診、住院,彰化縣彰化市龍山里中山路二段874巷33號,04-7223138,藥癮戒治醫院
中區,彰化縣,頤晴診所,門診、丁基原啡因替代治療,無,彰化縣彰化市福安里中山路二段271號,04-7288333,藥癮戒治診所
中區,彰化縣,修慧診所,門診、丁基原啡因替代治療,無,彰化縣彰化市五權里金馬路三段59號,04-7266158,藥癮戒治診所
中區,彰化縣,彰化基督教醫療財團法人二林基督教醫院,門診、替代治療,無,彰化縣二林鎮大成路一段558號,04-8952031,藥癮戒治醫院
南區,雲林縣,國立臺灣大學醫學院附設醫院雲林分院(斗六院區),門診、替代治療,門診、住院,雲林縣斗六市雲林路2段579號,05-5323911,藥癮戒治核心醫院
南區,雲林縣,國立成功大學醫學院附設醫院斗六分院,門診、替代治療,無,雲林縣斗六市莊敬路345號,05-5332121,藥癮戒治醫院
南區,雲林縣,信安醫療社團法人信安醫院,門診,門診、住院,雲林縣斗六市江厝里瓦厝路159號,05-5223788,藥癮戒治醫院
南區,雲林縣,天主教若瑟醫療財團法人若瑟醫院,門診、替代治療,門診,雲林縣虎尾鎮新生路74號,05-6337333,藥癮戒治醫院
南區,雲林縣,中國醫藥大學北港附設醫院,門診、替代治療,門診,雲林縣北港鎮新德路123號,05-7837901,藥癮戒治醫院
南區,雲林縣,廖寶全診所,門診、丁基原啡因替代治療,無,雲林縣虎尾鎮東明路182號,05-6322584,藥癮戒治診所
南區,雲林縣,何政岳診所,門診、丁基原啡因替代治療,無,雲林縣斗六市建成路109號,05-5328600,藥癮戒治診所
南區,嘉義縣,長庚醫療財團法人嘉義長庚紀念醫院,門診,門診,嘉義縣朴子市嘉朴路西段6號,05-3621000,藥癮戒治醫院
南區,嘉義縣,財團法人佛教慈濟綜合醫院大林分院,門診、替代治療,門診、住院,嘉義縣大林鎮民生路2號,05-2648000,藥癮戒治醫院
南區,嘉義縣,臺中榮民總醫院灣橋分院,門診、住院、替代治療,門診、住院,嘉義縣竹崎鄉灣橋村石麻園38號,05-2791072,藥癮戒治醫院
南區,嘉義縣,衛生福利部朴子醫院,門診、替代治療,門診,嘉義縣朴子市永和里42-50號,05-3790600,藥癮戒治醫院
南區,嘉義市,衛生福利部嘉義醫院,門診、替代治療,無,嘉義市西區北港路312號,05-2319090,藥癮戒治診所
南區,嘉義市,臺中榮民總醫院嘉義分院,門診、住院、替代治療,門診、住院,嘉義市西區世賢路2段600號,05-2359630,藥癮戒治核心醫院
南區,嘉義市,財團法人天主教聖馬爾定醫院,門診,門診,嘉義市東區民權路60號,05-2780040,藥癮戒治醫院
南區,嘉義市,戴德森醫療財團法人嘉義基督教醫院,門診、住院,門診、住院,嘉義市東區忠孝路539號,05-2675041,藥癮戒治醫院
南區,臺南市,衛生福利部嘉南療養院,門診、住院、替代治療,門診、住院,台南市仁德區中山路870巷80號,06-2795019,藥癮戒治核心醫院
南區,臺南市,高雄榮民總醫院臺南分院,門診、替代治療,門診,台南市永康區復興里復興路427號,06-3125101,藥癮戒治醫院
南區,臺南市,衛生福利部新營醫院,門診、替代治療,無,台南市新營區信義街73號,06-6351131,藥癮戒治醫院
南區,臺南市,衛生福利部台南醫院,門診、替代治療,無,臺南市中西區中山路125號,06-2200055,藥癮戒治醫院
南區,臺南市,臺南市立醫院,門診、替代治療,無,臺南市東區崇德路670號,06-2609926,藥癮戒治醫院
南區,臺南市,國立成功大學醫學院附設醫院,門診、替代治療,門診、住院,臺南市北區勝利路138號,06-2353535,藥癮戒治醫院
南區,臺南市,財團法人奇美醫院台南分院,門診、住院、替代治療,門診、住院,臺南市南區樹林街二段442號,06-2228116,藥癮戒治醫院
南區,臺南市,郭綜合醫院,門診、丁基原啡因替代治療,無,臺南市中西區民生路二段22號,06-2221111,藥癮戒治醫院
南區,臺南市,心樂活診所,門診,門診,臺南市東區凱旋路39號,06-2383636,藥癮戒治診所
南區,臺南市,臺南市立安南醫院-委託中國醫藥大學興建經營,門診、替代治療,門診,臺南市安南區長和路二段66號,06-3553111轉2212,藥癮戒治醫院
南區,臺南市,奇美醫療財團法人柳營奇美醫院,門診、丁基原啡因替代治療,無,臺南市柳營區太康里太康201號,06-6226999,藥癮戒治醫院
南區,臺南市,奇美醫療財團法人奇美醫院,門診、丁基原啡因替代治療,無,臺南市永康區中華路901號,06-2812811,藥癮戒治醫院
南區,臺南市,仁享診所,門診、丁基原啡因替代治療,無,臺南市永康區永大路2段970號,06-2719351,藥癮戒治診所
南區,臺南市,財團法人台灣省私立台南仁愛之家附設精神療養院,門診、丁基原啡因替代治療,無,臺南市新化區中山路20號,06-5902336,藥癮戒治醫院
高屏區,高雄市,高雄醫學大學附設中和紀念醫院,門診、住院、替代治療,門診、住院,高雄市三民區自由一路100號,07-3121101,藥癮戒治核心醫院
高屏區,高雄市,高雄市立凱旋醫院,門診、住院、替代治療,門診、住院,高雄市苓雅區凱旋二路130號,07-7513171,藥癮戒治核心醫院
高屏區,高雄市,國軍高雄總醫院附設民眾診療處,門診、住院、替代治療,門診、住院,高雄市苓雅區建軍路5號,07-7496779,藥癮戒治醫院
高屏區,高雄市,高雄榮民總醫院,門診、替代治療,門診,高雄市左營區大中一路386號,07-3422121,藥癮戒治醫院
高屏區,高雄市,財團法人台灣省私立高雄仁愛之家附設慈惠醫院,門診、替代治療,門診、住院,高雄市大寮區後庄村鳳屏一路509號,07-7030315,藥癮戒治核心醫院
高屏區,高雄市,義大醫療財團法人義大醫院,門診、住院、替代治療,門診、住院,高雄市燕巢區角宿村義大路1號,07-6150011,藥癮戒治醫院
高屏區,高雄市,長庚醫療財團法人高雄長庚紀念醫院,門診、住院、替代治療,門診、住院,高雄市鳥松區大埤路123號,07-7317123,藥癮戒治核心醫院
高屏區,高雄市,衛生福利部旗山醫院,門診、替代治療,無,高雄市旗山區中學路60號,07-6613811,藥癮戒治醫院
高屏區,高雄市,維心診所,門診、丁基原啡因替代治療,門診,高雄市岡山區岡山路314號,07-6231829,藥癮戒治診所
高屏區,高雄市,阮綜合醫療社團法人阮綜合醫院,門診、替代治療,門診,高雄市苓雅區成功一路162號,07-3351121,藥癮戒治醫院
高屏區,高雄市,國軍高雄總醫院左營分院,門診、住院、替代治療,門診、住院,高雄市左營區軍校路553號,07-5875938,藥癮戒治醫院
高屏區,高雄市,高雄市立小港醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),門診,門診,高雄市小港區山明路482號,07-8036783,藥癮戒治醫院
高屏區,高雄市,高雄市立聯合醫院,門診、丁基原啡因替代治療,門診,高雄市鼓山區中華一路976號,07-5552565,藥癮戒治醫院
高屏區,高雄市,高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),門診,門診,高雄市前金區中華三路68號,07-2911101,藥癮戒治醫院
高屏區,高雄市,靜和醫院,門診、丁基原啡因替代治療,門診,高雄市新興區民族二路178號,07-2229612,藥癮戒治醫院
高屏區,高雄市,樂安醫院,門診、丁基原啡因替代治療,門診、住院,高雄市岡山區通校路300號,07-6256791,藥癮戒治醫院
高屏區,高雄市,陽光診所,門診、丁基原啡因替代治療,門診,高雄市左營區自由三路176號,07-3412598,藥癮戒治診所
高屏區,高雄市,靜安診所,門診、丁基原啡因替代治療,門診,高雄市苓雅區大順三路197號,07-2239025,藥癮戒治診所
高屏區,屏東縣,衛生福利部屏東醫院,門診、替代治療,無,屏東縣屏東市自由路270號,08-7363011,藥癮戒治醫院
高屏區,屏東縣,高雄榮民總醫院屏東分院,門診,門診、住院,屏東縣內埔鄉龍潭村昭勝路安平1巷1號,08-7704115,藥癮戒治醫院
高屏區,屏東縣,安泰醫療社團法人安泰醫院,門診、替代治療,門診、住院,屏東縣東港鎮中正路1段210號,08-8329966,藥癮戒治醫院
高屏區,屏東縣,屏安醫院,門診、住院、替代治療,門診,屏東縣麟洛鄉中山路160-1號,08-7211777,藥癮戒治醫院
高屏區,屏東縣,國軍高雄總醫院附設屏東民眾診療服務處,門診、住院,門診、住院,屏東縣屏東市大湖路58巷22號,08-7560756,藥癮戒治診所
高屏區,屏東縣,屏安醫院附設門診部,門診、丁基原啡因替代治療,門診,屏東縣屏東市瑞光路2段250號,08-7378888,藥癮戒治診所
高屏區,屏東縣,泰祥診所,門診,門診,屏東縣潮州鎮新生路111號,08-7881777,藥癮戒治診所
高屏區,屏東縣,興安診所,門診、丁基原啡因替代治療,門診,屏東縣屏東市自由路463號,08-7346666,藥癮戒治診所
高屏區,屏東縣,寬心診所,門診、丁基原啡因替代治療,門診,屏東縣屏東市中山路40號,08-7333555,藥癮戒治診所
高屏區,屏東縣,屏基醫療財團法人屏東基督教醫院,門診,門診,屏東縣屏東市大連路60號,08-7368686,藥癮戒治醫院
高屏區,屏東縣,衛生福利部恆春旅遊醫院,門診,無,屏東縣恆春鎮恆南路188號,08-8892704,藥癮戒治診所
高屏區,屏東縣,佑青醫療財團法人佑青醫院,門診,無,屏東縣潮州鎮新生路111號,08-7705115,藥癮戒治醫院
高屏區,澎湖縣,衛生福利部澎湖醫院,門診、替代治療,無,澎湖縣馬公市中正路10號,06-9261151,藥癮戒治醫院
東區,花蓮縣,衛生福利部玉里醫院,門診、住院、替代治療,門診、住院,花蓮縣玉里鎮中華路448號,03-8886141,藥癮戒治醫院
東區,花蓮縣,衛生福利部花蓮醫院,門診、住院、替代治療,門診、住院,花蓮市中正路600號,03-8358141,藥癮戒治核心醫院
東區,花蓮縣,玉里榮民醫院,門診、住院,門診、住院,花蓮縣玉里鎮新興街91號,03-8883141,藥癮戒治診所
東區,花蓮縣,鳳林榮民醫院,門診、住院,門診、住院,花蓮縣鳳林鎮中正路1 段2號,03-8764539,藥癮戒治診所
東區,花蓮縣,財團法人佛教慈濟綜合醫院,門診、丁基原啡因替代治療,門診,花蓮市中山路三段707號,03-8561825,藥癮戒治核心醫院
東區,花蓮縣,國軍花蓮總醫院,門診、住院、替代治療,門診、住院,花蓮縣新城鄉嘉里村嘉里路163號,03-8263151,藥癮戒治醫院
東區,花蓮縣,臺灣基督教門諾會醫療財團法人門諾醫院壽豐分院,門診、住院,門診、住院,花蓮縣壽豐鄉共和村魚池52號,03-8664600,藥癮戒治診所
東區,台東縣,衛生福利部台東醫院,門診、住院、替代治療,門診、住院,台東縣台東市五權街1號,089-342112,藥癮戒治醫院
東區,台東縣,臺北榮民總醫院臺東分院,門診,無,台東縣台東市更生路1000號,089-222995,藥癮戒治診所
