工會名稱,理事長,會址,電話
嘉義縣電焊切割人員職業工會,黃福村,新港鄉登雲路42號,05-3740165
嘉義縣冷凍空調裝修職業工會,謝建雄,嘉義縣大林鎮平林里下潭底23之2號,05-2358088    
嘉義縣殯禮服務職業工會,羅河永,嘉義縣水上鄉忠和村檳榔樹角18號,05-2893719
嘉義縣青果加工職業工會,林崑鏜,梅山鄉公園路218號,05-2626197
嘉義縣電氣裝修職業工會,林煌明,朴子郵政第133號信箱615嘉義縣六腳鄉灣南村2鄰31之61號,05-3627573 
嘉義縣工商團體會務工作人員職業工會,張瑞芬,嘉義市文化路79號3樓,05-2281033
嘉義縣咖啡加工職業工會,洪楷程,梅山鄉公園路218號,05-2626197  
嘉義縣照顧服務員職業工會,賴玉杏,嘉義市彌陀路135號3樓之3,05-2252050    
嘉義縣褓姆職業工會,蔡麗貞,嘉義市國華街245號7樓之9,05-2255718
嘉義縣廣告傳單發送服務人員職業工會,姚天慧,嘉義市文中街10號,05-2332390
嘉義縣資訊服務職業工會,劉孟鑫,嘉義市國華街245號7樓9,05-2255718
嘉義縣陸上運輸服務人員職業工會,盧明志   ,朴子市朴子7路148號,05-2769195
嘉義縣骨節整復職業工會,鄭智元,中埔鄉武德街6號,05-2395151
嘉義縣道士職業工會,余孟霖,中埔鄉和美村和美路276號,0937352169
嘉義縣小販職業工會,汪益生,民雄鄉建國路1段31巷74號,05-2267784    
嘉義縣教師職業工會,王建超,嘉義市中興路49號2樓5星雲大樓,05-2313598
嘉義縣公寓大廈管理服務職業工會,賴振斌,嘉義市文中街10號,05-2335999
嘉義縣福利商品銷售服務人員職業工會,林厚質,嘉義縣朴子市內厝里內厝30-1號,05-3796333 
嘉義縣縫製裝飾品製作工職業工會,林協志,民雄鄉建國路2段167號,05-2062833
嘉義縣中餐服務人員職業工會,郭禮智,竹崎鄉崎腳112之17號,05-2790050     
