資料種類,資料項目,發布形式,106年01月,106年02月,106年03月,106年04月,106年05月,106年06月,106年07月,106年08月,106年09月,106年10月,106年11月,106年12月,
社會福利服務統計,中低收入老人租賃房屋租金或住宅修繕補助,報表、網路網路,,6日17:00(105年下半年),,,,,,7日17:00(106年上半年),,,,,半年報
社會福利服務統計,婦女福利服務 ,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報
其他社會保障統計,身心障礙福利機構工作人員數,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報
其他社會保障統計,社會工作員工作成果,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報
其他社會保障統計,領有社會工作師執照人數及其事務所開業概況 ,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報
其他社群活動統計,社會處(局)推展志願服務志工人數,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報
生活狀況統計,身心障礙者致殘成因,報表、網路網路,,6日17:00(105年),,,,,,,,,,,年報
其他社會保障統計,社會福利工作人員數,報表、網路網路,,6日17:00(105年),,,,,,,,,,,年報
財團法人統計,財團法人社會福利服務統計慈善事業基金會基本資料與經費來源,報表、網路網路,,,,,,9日17:00(104年),,,,,,,年報
財團法人統計,財團法人社會福利服務統計慈善事業基金會經費運用情形,報表、網路網路,,,,,,9日17:00(104年),,,,,,,年報
生活狀況統計,特殊境遇家庭概況,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
生活狀況統計,多重障礙者人數按多重障礙類別分,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
生活狀況統計,多重障礙者之年齡分配按多重障礙類別分,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社區發展統計,社區發展工作概況,報表、網路網路,,6日17:00(105年),,,,,,,,,,,年度報
其他社會保障統計,社會工作專職人員數,報表、網路網路,,,9日17:00(105年),,,,,,,,,,年報
社會福利服務統計,中低收入戶數及人數按年齡別分,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會福利服務統計,中低收入戶數及人數按身分別分,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
其他社會保障統計,老人長期照護、安養機構工作人員,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報
生活狀況統計,身心障礙者日間照顧及住宿式照顧補助,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
會員組織統計,合作社概況,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報
會員組織統計,工商自由職業及社會團體概況,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報
會員組織統計,合作事業現有工作人員概況,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報
其他社群活動統計,重大災害財務損失統計,報表、網路網路,事件發生下個月25日,,,,,,,,,,,,臨時報
社會福利服務統計,獨居老人數及服務概況,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報 106.02.21背景更新
社會福利服務統計,兒童及少年福利機構及服務概況,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報 106.02.21背景更新
社會福利服務統計,發展遲緩兒童早期療育服務概況,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報 106.02.21背景更新
其他社群活動統計,嘉義縣政府事業單位勞資關係制度現況,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會福利服務統計,辦理老人福利服務成果(一),報表、網路網路,,6日17:00(105年下半年),,,,,,7日17:00(106年上半年),,,,,半年報
社會福利服務統計,辦理老人福利服務成果(二),報表、網路網路,,6日17:00(105年下半年),,,,,,7日17:00(106年上半年),,,,,半年報
社會福利服務統計,辦理老人福利服務成果(三),報表、網路網路,,6日17:00(105年下半年),,,,,,7日17:00(106年上半年),,,,,半年報
社會福利服務統計,辦理老人福利服務成果(四),報表、網路網路,,6日17:00(105年下半年),,,,,,7日17:00(106年上半年),,,,,半年報
社會福利服務統計,長期照顧十年計畫(一),報表、網路網路,,6日17:00(105年下半年),,,,,,7日17:00(106年上半年),,,,,半年報
社會福利服務統計,長期照顧十年計畫(二),報表、網路網路,,6日17:00(105年下半年),,,,,,7日17:00(106年上半年),,,,,半年報
社會福利服務統計,長期照顧十年計畫(三),報表、網路網路,,6日17:00(105年下半年),,,,,,7日17:00(106年上半年),,,,,半年報
社會福利服務統計,長期照顧十年計畫(四),報表、網路網路,,6日17:00(105年下半年),,,,,,7日17:00(106年上半年),,,,,半年報
社會福利服務統計,長期照顧十年計畫(五),報表、網路網路,,6日17:00(105年下半年),,,,,,7日17:00(106年上半年),,,,,半年報
社會福利服務統計,兒童少年保護執行(一),報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報 106.02.21背景更新
社會福利服務統計,兒童少年保護執行(二),報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報 106.02.21背景更新
社會福利服務統計,兒童少年保護執行(三),報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報 106.02.21背景更新
社會福利服務統計,兒童少年保護執行(四),報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報 106.02.21背景更新
其他社群活動統計,嘉義縣職工福利概況,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報
其他社群活動統計,嘉義縣政府辦理勞工教育概況,報表、網路網路,,6日17:00(105年),,,,,,,,,,,年報
其他社群活動統計,嘉義縣政府辦理志願服務概況,報表、網路網路,,6日17:00(105年),,,,,,,,,,,年報
社會救助統計,低收入戶數及人數按款別及年齡別分,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會救助統計,低收入戶數及人數按身分別分,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會救助統計,中低收入戶輔導就業服務,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
