鄉(鎮市)別,寺廟名稱,主祀神佛像,教別,組織型態,寺廟地址,負責人姓名,登記證字號,電話,備註
朴子市,竹安亭,五府千歲,道,管理人制,朴子市永和里3鄰應菜埔25之1號,李木成,嘉縣寺登字第0036號,(05)3702749,
朴子市,永安宮,五府千歲,道,管理委員會制,朴子市永和里8鄰應菜埔79之2號,李量益,嘉縣寺登字第0037號,(05)3706220,
朴子市,鎮安宮,林府九千歲五年千歲,道,管理委員會制,朴子市竹圍里1鄰下竹圍1號,蔡宜雄,嘉縣寺登字第0038號,(05)3793085,
朴子市,新福宮,公子爺,道,管理委員會制,朴子市新寮里6鄰新寮10號,陳太原,嘉縣寺登字第0039號,,
朴子市,石碼宮,林府元帥,道,管理委員會制,朴子市雙溪里4鄰雙溪口37號,侯清河,嘉縣寺登字第0040號,(05)3704313,
朴子市,德安宮,保生大帝,道,管理委員會制,朴子市德興里1鄰新吉庄4號,涂水樹,嘉縣寺登字第0041號,,
朴子市,萬善堂,黑川伯公,道,管理人制,朴子市溪口里1鄰雙溪口127之1號,侯金地,嘉縣寺登字第0042號,(05)3797437,
朴子市,石碼宮,林府元帥,道,管理委員會制,朴子市溪口里7鄰雙溪口192之1號,侯水富,嘉縣寺登字第0043號,(05)3798583,
朴子市,福安宮,五府千歲,道,管理人制,朴子市仁和里1鄰小?榔12之1號,張嘉雄,嘉縣寺登字第0044號,(05)3705294,
朴子市,育黎宮,城隍,道,管理人制,朴子市大鄉里3鄰大?榔196號,涂鋒良,嘉縣寺登字第0045號,(05)3700535,暫時管理人
朴子市,龍安宮,李府千歲,道,管理人制,朴子市大鄉里14鄰大?榔287號,沈金獅,嘉縣寺登字第0046號,(05)3703461,
朴子市,金王公廟,金　　王,道,管理人制,朴子市大鄉里8鄰大?榔238之1號旁,陳清芳,嘉縣寺登字第0048號,(05)3799097,暫時管理人
朴子市,?榔公廟,?榔公,道,管理委員會制,朴子市大鄉里3鄰大?榔295號附8,張塗井,嘉縣寺登字第0049號,,
朴子市,涂姓開基祖廟,天上聖母,道,管理委員會制,朴子市大鄉里3鄰大?榔195號,涂清國,嘉縣寺登字第0050號,(05)3791960,
朴子市,石車公廟,石車公,道,管理人制,朴子市大葛里11鄰大?榔1之3號附近,涂本,嘉縣寺登字第0051號,(05)3700807,
朴子市,城隍宮,城隍,道,管理委員會制,朴子市佳禾里7鄰東安寮10號,黃萬芳,嘉縣寺登字第0052號,(05)3692718,
朴子市,太子宮,魏王爺,道,管理人制,朴子市佳禾里1鄰苦瓜寮42之6號旁,莊塭?,嘉縣寺登字第0053號,(05)3701875,
朴子市,聖德堂,聖德元帥,道,管理人制,朴子市佳禾里1鄰苦瓜寮60之1號旁,許看,嘉縣寺登字第0054號,(05)3702681,
朴子市,保安宮,五府千歲,道,管理人制,朴子市崁前里10鄰崁前25號,謝同林,嘉縣寺登字第0055號,(05)3692921,
朴子市,寶龍宮,吳府千歲,道,管理人制,朴子市崁後里4鄰崁後35之1號,葉金明,嘉縣寺登字第0056號,,
朴子市,順水媽廟,順水媽,道,管理人制,朴子市崁後里5鄰崁後54之1號旁邊,葉金明,嘉縣寺登字第0058號,(05)3691923,
朴子市,澤山宮,護國尊王,道,管理人制,朴子市竹村里1鄰鴨母寮7之7號,林秋雄,嘉縣寺登字第0059號,(05)3693238,
朴子市,山西宮,山西夫子,道,管理委員會制,朴子市竹村里8鄰鴨母寮90號,張錦文,嘉縣寺登字第0060號,(05)3693839,
朴子市,聖媽堂,三姑娘,道,管理人制,朴子市竹村里1鄰鴨母寮3之1號旁,陳清?,嘉縣寺登字第0061號,(05)3692333,
朴子市,順安宮,五王,道,管理委員會制,朴子市順安里龜子港1號,涂添煌,嘉縣寺登字第0062號,,
朴子市,吉安寺,通天教主,道,管理人制,朴子市德家里3鄰吳竹子腳21號,蔡榮宗,嘉縣寺登字第0063號,(05)3692400,
朴子市,大發寺,太子爺,道,管理委員會制,朴子市德家里6鄰吳竹子腳53號,林海龍,嘉縣寺登字第0064號,(05)3695191,
朴子市,龍安宮,五府千歲,道,管理人制,朴子市松華里12鄰牛挑灣218號,張焜堂,嘉縣寺登字第0065號,(05)3691347,
朴子市,大華宮,吳府千歲,道,管理委員會制,朴子市南竹里3鄰南勢竹29號,陳春生,嘉縣寺登字第0066號,(05)3691756,
朴子市,北極殿,玄天上帝,道,管理委員會制,朴子市安福里11鄰黎明路6之1號,劉龍江,嘉縣寺登字第0067號,(05)3704057,
朴子市,樸靈宮,呂仙祖　　樸靈公,道,管理委員會制,朴子市文化里10鄰海通路116號,劉三導,嘉縣寺登字第0068號,(05)3795578,
朴子市,代天宮,刑府千歲,道,管理委員會制,朴子市文化里8鄰文化北路27號,王新福,嘉縣寺登字第0069號,(05)3791121,
朴子市,春川宮,春姑婆,道,管理委員會制,朴子市安福里13鄰黎明路1之2號,楊??,嘉縣寺登字第0070號,(05)3793589,
朴子市,北天宮,玄天上帝,道,管理人制,朴子市新庄里1鄰新庄10號,王春風,嘉縣寺登字第0071號,(05)3693813,
朴子市,聖善寺,釋迦牟尼佛,佛,管理人制,朴子市大鄉里22鄰大?榔253之32號,張如棠,嘉縣寺登字第0072號,(05)3795811,
朴子市,龍水宮,莊奶夫人,道,管理委員會制,朴子市安福里21鄰天星新村34之1號,王瑞賓,嘉縣寺登字第0073號,(05)3799528,
朴子市,萬善廟,福德正神,道,管理委員會制,朴子市竹圍里16鄰南通路386號,曾明福,嘉縣寺登字第0074號,(05)3701741,
朴子市,財團法人臺灣省嘉義縣朴子配天宮,天上聖母,道,財團法人制,朴子市開元里6鄰開元路118號,黃清田,嘉縣寺登字第0075號,(05)3792350,
朴子市,財團法人臺灣省嘉義縣朴子高明寺,釋迦牟尼佛,佛,財團法人制,朴子市文化里15鄰山通路73號,陳浚沂,嘉縣寺登字第0076號,(05)3792068,
朴子市,雙溪口福天宮,吳府三千歲,道,管理委員會制,朴子市雙溪里3鄰29號,卓瑞森,嘉縣寺登字第0441號,(05)3790498,
朴子市,仙天宮,林府千歲,道,管理委員會制,朴子市永和里應菜埔76號,林福財,嘉縣寺登字第0458號,(05)3702368,
朴子市,南極代天宮,池府千歲,道,管理人制,朴子市新庄里7鄰,莊有志,嘉縣寺登補字第0099號,,
朴子市,雜姓公廟,李元帥,道,管理人制,朴子市大葛里21鄰大?榔152之50號,李文慶,嘉縣寺登補字第0100號,,
朴子市,布伯公廟,福德正神,道,管理人制,朴子市平和里海通路2之42號,尤芳盛,嘉縣寺登補字第0101號,(05)3794057,
朴子市,敦睦宮,天僊伍帝,道,管理人制,朴子市崁後里5鄰崁後45之1號,洪明雄,嘉縣寺登補字第0150號,(05)3691759,暫時管理人
朴子市,聖福宮,福德正神,道,管理人制,朴子市大鄉里17鄰大?榔466號,涂?貴,嘉縣寺登補字第0151號,(05)3700831,
朴子市,碧安宮,天上聖母,道,管理人制,朴子市梅華里19鄰牛挑灣129之10號,陳德昆,嘉縣寺登補字第0152號,(05)3691851,暫時管理人
朴子市,三王府,三千歲,道,管理人制,朴子市竹村里12鄰鴨母寮471巷59號附1,黃賜珍,嘉縣寺登補字第0198號,(05)3693383,
朴子市,指靈宮,南無濟公禪師,道,管理委員會制,朴子市溪口里181之1號,張麒璉,嘉縣寺登補字第0218號,(05)3703146,
朴子市,慧光寺,釋迦牟尼佛,佛,管理人制,朴子市梅華里153之10號,劉富川,嘉縣寺登補字第0248號,(05)3691347,
布袋鎮,將軍府,魏將軍,道,管理人制,布袋鎮岱江里8鄰清水街10巷12號前,蔡清春,嘉縣寺登字第0077號,,
布袋鎮,嘉應廟,九龍三公,道,管理委員會制,布袋鎮九龍里2鄰入船路32號,蔡榮江,嘉縣寺登字第0078號,(05)3476225,
布袋鎮,岑兜廟武聖殿,太師爺,道,管理委員會制,布袋鎮岑海里5鄰太平路322巷3號,蕭水源,嘉縣寺登字第0079號,(05)3478695,
布袋鎮,永安宮,張聖真君,道,管理人制,布袋鎮岑海里太平路312巷2之2號,周添發,嘉縣寺登字第0080號,(05)3474538,
布袋鎮,東宮廟,太子爺,道,管理人制,布袋鎮興中里後寮路48號,張寶華,嘉縣寺登字第0081號,(05)3476219,
布袋鎮,大眾爺廟,大眾爺,道,管理委員會制,布袋鎮光復里16鄰太平東路383號,蔡榮堂,嘉縣寺登字第0082號,,
布袋鎮,安天宮,天上聖母,道,管理人制,布袋鎮光復里東安庄43號,賴健哲,嘉縣寺登字第0083號,(05)3474520,
布袋鎮,財團法人台灣省嘉義縣布袋鎮見龍里金華山堂,觀世音菩薩,佛,財團法人制,布袋鎮見龍里內田1號,柯美治,嘉縣寺登字第0084號,(05)3471830,
布袋鎮,財團法人台灣省嘉義縣布袋鎮過溝建德宮,諸府千歲,道,財團法人制,布袋鎮西安里3鄰過溝西勢30號,陳國偉,嘉縣寺登字第0085號,(05)3451026,
布袋鎮,見龍宮,五府千歲,道,管理委員會制,布袋鎮見龍里14鄰內田2之4號,邱永圳,嘉縣寺登字第0086號,(05)3471841,
布袋鎮,安南府,張李莫,道,管理委員會制,布袋鎮新厝里81之1號,蕭溪壽,嘉縣寺登字第0087號,(05)3475733,
布袋鎮,清華祠,陳蕊娘,道,管理人制,布袋鎮新厝里13鄰新厝仔65附20號,蕭利等,嘉縣寺登字第0088號,(05)3473853,
布袋鎮,卿雲廟,諸府千歲,道,管理人制,布袋鎮龍江里300號,蕭孟學,嘉縣寺登字第0089號,(05)3471702,
布袋鎮,靜德禪寺,釋迦牟尼佛,佛,住持制,布袋鎮西安里過溝西勢150號,蕭玉枝,嘉縣寺登字第0090號,(05)3451223,
布袋鎮,福德宮,福德正神,道,管理人制,布袋鎮貴舍里半月64號,劉博文,嘉縣寺登字第0091號,,
布袋鎮,真武廟,真武大帝,道,管理人制,布袋鎮貴舍里貴舍72號,張文發,嘉縣寺登字第0092號,(05)3454872,
布袋鎮,龍山宮,諸府千歲,道,管理人制,布袋鎮東港里1鄰東港30號,翁新丁,嘉縣寺登字第0093號,(05)3472152,
布袋鎮,護安宮,五府千歲,道,管理委員會制,布袋鎮東港里埔仔厝120之1號,姚三組,嘉縣寺登字第0094號,(05)3477355,
布袋鎮,鎮海宮,董元帥爺,道,管理委員會制,布袋鎮東港里埔仔厝4號,邱漢坤,嘉縣寺登字第0095號,,
布袋鎮,永安宮,諸府千歲,道,管理委員會制,布袋鎮永安里4鄰大寮117號,邱土財,嘉縣寺登字第0096號,(05)3474393,
布袋鎮,振寮宮,諸府千歲,道,管理委員會制,布袋鎮振寮里後壁寮142號,王進昆,嘉縣寺登字第0097號,(05)3472415,
布袋鎮,蕭府大帝殿,蕭府大帝,道,管理人制,布袋鎮振寮里11鄰10之1號,蕭金水,嘉縣寺登字第0098號,,暫時管理人
布袋鎮,保安宮,真武大帝,道,管理人制,布袋鎮考試里3鄰考試潭1號,柳安邦,嘉縣寺登字第0099號,(05)3472289,
布袋鎮,鹿安宮,諸府千歲,道,管理人制,布袋鎮考試里6鄰鹿寮仔13號,陳梗,嘉縣寺登字第0100號,(05)3473792,
布袋鎮,新塭嘉應廟,九龍三公,道,管理委員會制,布袋鎮復興里17鄰81號,蔡清政,嘉縣寺登字第0101號,(05)3431302,
布袋鎮,朝天宮,天上聖母,道,管理委員會制,布袋鎮新民里15鄰新塭387號,洪景松,嘉縣寺登字第0102號,(05)3431912,
布袋鎮,魍港太聖宮,諸府千歲,道,管理委員會制,布袋鎮好美里10鄰132號,秦榮福,嘉縣寺登字第0103號,(05)3431714,
布袋鎮,海國宮,五府千歲,道,管理委員會制,布袋鎮新岑里6鄰81之1號,李瑞芳,嘉縣寺登字第0104號,(05)3430022,
布袋鎮,洝海宮,天上聖母,道,管理人制,布袋鎮好美里29號,蔡文郎,嘉縣寺登字第0105號,,
布袋鎮,武聖宮,關聖帝君,道,管理委員會制,布袋鎮岑海里中山路289號,柯博賢,嘉縣寺登字第0436號,(05)3475626,
布袋鎮,嘉義縣布袋鎮溪北鎮北宮,吳府千歲,道,管理人制,布袋鎮東港里埔仔厝85號,韓添喜,嘉縣寺登字第0445號,(05)3472019,
布袋鎮,過溝保安宮,陳奶夫人陳靖姑,道,管理人制,布袋鎮過溝東勢頭187號,呂萬?,嘉縣寺登字第0447號,(05)3451115,
布袋鎮,新塭九郎公祠,九郎公神龕,道,管理委員會制,布袋鎮復興里25鄰669之1號,蔡三川,嘉縣寺登字第0452號,(05)3432159,
布袋鎮,聖天宮,天上聖母,道,管理委員會制,布袋鎮菜舖里9鄰新吉庄60號,蔡丁福,嘉縣寺登字第0473號,(05)3420288,
布袋鎮,新塭大眾爺廟,大眾爺,道,管理人制,布袋鎮新民段481、482地號,蕭電鶯,嘉縣寺登補字第0042號,,
布袋鎮,新塭城隍廟,安海三城隍,道,管理委員會制,布袋鎮新民里新塭342號,顏翊鈿,嘉縣寺登補字第0043號,(05)3431510,
布袋鎮,長春祠,邱春娘,道,管理人制,布袋鎮新厝里4鄰新厝仔295號附1,蔡萬章,嘉縣寺登補字第0045號,(05)3479286,
布袋鎮,聖林宮,城隍爺,道,管理委員會制,布袋鎮樹林里4鄰樹林頭29之1號,曾木崑,嘉縣寺登補字第0046號,(05)3452519,
布袋鎮,東安宮,李府千歲,道,管理人制,布袋鎮東港里10鄰東港118號,邱彬,嘉縣寺登補字第0047號,,
布袋鎮,大眾爺廟,大眾爺公,道,管理人制,布袋鎮考試里1鄰(考試潭段597號),陳崑,嘉縣寺登補字第0048號,,
布袋鎮,龍珠宮,九龍三公,道,管理委員會制,布袋鎮中安里1鄰?地仔1號附3,莊金守,嘉縣寺登補字第0049號,,
布袋鎮,王天宮,王府元帥,道,管理人制,布袋鎮溪墘段溪墘小段424地號,張文波,嘉縣寺登補字第0050號,,
布袋鎮,嘉義縣布袋鎮過溝安溪城隍廟,安溪三城隍爺,道,管理人制,布袋鎮東安里4鄰過溝東勢頭144號,蔡江俊,嘉縣寺登補字第0132號,(05)3451774,
布袋鎮,東港溪安宮,城隍爺,道,管理人制,布袋鎮東港里23鄰埔仔厝227號附1,尤居本,嘉縣寺登補字第0154號,(05)3474105,
布袋鎮,普天宮,趙子龍,道,管理委員會制,布袋鎮岑海里11鄰海利街26號,王瑞邦,嘉縣寺登補字第0172號,(05)3476378,
布袋鎮,鎮天宮,朱府千歲,道,管理委員會制,布袋鎮岑海里新南路6號,蔡瑞朝,嘉縣寺登補字第0215號,(05)3476390,
布袋鎮,聖港宮,天上聖母,道,管理委員會制,布袋鎮樹林里港後15號附1,周竹茂,嘉縣寺登補字第0240號,(05)3452436,
布袋鎮,中東宮,木府元帥,道,管理人制,布袋鎮東港里景山段325之1地號,許妙習,嘉縣寺登補字第0241號,(05)3477366,
布袋鎮,歲化宮,陳聖王宮,道,管理委員會制,布袋鎮西安里廈厝63號,陳俊宏,嘉縣寺登補字第0245號,(05)3450966,
布袋鎮,聖恩宮,天上三聖母,道,管理委員會制,布袋鎮振寮里4鄰後壁寮181號之6,邱永合,嘉縣寺登補字第0250號,(05)3474312,
布袋鎮,布袋福安壇淨慈寺,濟公,道,管理委員會制,布袋鎮考試潭段考試小段109地號,周進發,嘉縣寺登補字第0258號,(05)3474105,
布袋鎮,聖山宮,山有神君,道,管理委員會制,布袋鎮東港里9鄰東港102號附9,黃國太,嘉縣寺登補字第0261號,(05)3479266,
大林鎮,安霞宮,開漳聖王,道,管理委員會制,大林鎮西林里仁愛路2號,何文雄,嘉縣寺登字第0106號,(05)2654110,
大林鎮,天德寶宮,關聖帝君,道,管理委員會制,大林鎮西林里中山路269號,唐宗輝,嘉縣寺登字第0107號,(05)2652565,
大林鎮,朝聖宮,江元帥,道,管理委員會制,大林鎮平林里下潭底26號,陳清源,嘉縣寺登字第0108號,(05)2657182,
大林鎮,明德佛寺,釋迦牟尼佛,佛,管理人制,大林鎮溝背里6鄰119號,張龍福,嘉縣寺登字第0109號,(05)2954446,
大林鎮,昭慶禪寺,釋迦牟尼佛,佛,管理委員會制,大林鎮明華里中正路41號,黃福良,嘉縣寺登字第0110號,0928－677402,
大林鎮,紫玄保宮,玄天上帝,道,管理委員會制,大林鎮明華里12鄰下埤頭83號,游武力,嘉縣寺登字第0111號,(05)2650774,
大林鎮,朝傳宮,天上聖母,道,管理委員會制,大林鎮明和里3鄰甘蔗崙72號,陳福星,嘉縣寺登字第0112號,(05)2656318,
大林鎮,五府千歲廟,黃欽府千歲,道,管理委員會制,大林鎮排路里9鄰166號,張永欽,嘉縣寺登字第0113號　　　,(05)2694713,
大林鎮,保安宮,王孫大使,道,管理委員會制,大林鎮西結里4鄰70號,陳建昌,嘉縣寺登字第0114號,(05)2694995,
大林鎮,佛方宮,慚愧祖師,道,管理委員會制,大林鎮湖北里4鄰大湖15號,簡榮坤,嘉縣寺登字第0115號,(05)2651767,
大林鎮,媽祖廟朝天宮,天上聖母,道,管理委員會制,大林鎮湖北里10鄰早知19號,劉基旺,嘉縣寺登字第0116號,(05)2656379,
大林鎮,泰寧宮,天上聖母,道,管理委員會制,大林鎮大美里14鄰大埔美141號,李盈昇,嘉縣寺登字第0117號,(05)2953540,
大林鎮,萬寧宮,保生大帝,道,管理委員會制,大林鎮中坑里4鄰沙崙176號,劉境鎮,嘉縣寺登字第0118號,(05)2953577,
大林鎮,奉天宮,王爺公,道,管理委員會制,大林鎮中坑里6鄰7號,梁新松,嘉縣寺登字第0119號,(05)2951543,
大林鎮,龍山巖,釋迦牟尼佛,佛,管理委員會制,大林鎮中坑里17鄰芎蕉山41號,簡堯霖,嘉縣寺登字第0120號,(05)2953088,
大林鎮,寶山寺,釋迦牟尼佛,佛,管理人制,大林鎮中坑里17鄰芎蕉山15號,陳威孜,嘉縣寺登字第0121號,(05)2951119,
大林鎮,代天宮,玄天上帝,道,管理人制,大林鎮上林里11鄰麻園寮10之1號,顏明輝,嘉縣寺登字第0122號,(05)2721754,
大林鎮,安林宮,田都元帥,道,管理委員會制,大林鎮上林里10鄰頂員林44之1號,曾水永,嘉縣寺登字第0123號,(05)2650426,
大林鎮,永壽宮,松樹尊王,道,管理委員會制,大林鎮中林里7鄰中林48號,張鴻章,嘉縣寺登字第0124號,(05)2651649,
大林鎮,鎮安宮,觀音佛祖,佛,管理委員會制,大林鎮三和里10鄰水碓44號,許銘發,嘉縣寺登字第0125號,(05)2650480,
大林鎮,保安宮,玄天上帝,道,管理委員會制,大林鎮三和里1鄰林子頭12號,劉溪,嘉縣寺登字第0126號,(05)2952078,
大林鎮,金林寺,觀音佛祖,佛,管理委員會制,大林鎮溝背里13鄰281號,江明聰,嘉縣寺登字第0127號,(05)2956349,
大林鎮,隆天宮,王爺宮,道,管理委員會制,大林鎮義和里2鄰3塊厝15號,江有仁,嘉縣寺登字第0128號,(05)2950446,
大林鎮,金虛宮,玄天上帝,道,管理委員會制,大林鎮三村里7鄰湖子16之3號,蕭順德,嘉縣寺登字第0129號,(05)2658365,原上帝宮
大林鎮,善興宮,松樹王,道,管理人制,大林鎮三村里1鄰潭墘9號,江豐谷,嘉縣寺登字第0130號,(05)2954739,
大林鎮,武聖宮,關聖帝君,道,管理人制,大林鎮吉林里8鄰平和街32巷2號,孫坤錦,嘉縣寺登字第0131號,933630966,
大林鎮,大美濟公院,濟公活佛,道,管理人制,大林鎮大美里11鄰大埔美208號,吳文仁,嘉縣寺登字第0132號,(05)2952903,
大林鎮,福德爺廟,福德爺,道,管理委員會制,大林鎮吉林里中正路514巷12號(市場內),許正良,嘉縣寺登字第0133號,(05)2652048,
大林鎮,福德爺,福德爺,道,管理委員會制,大林鎮吉林里7鄰平和街54號,鄭紹宗,嘉縣寺登字第0134號,,
大林鎮,普濟佛院,明明上帝,一貫道,管理委員會制,大林鎮義和里1鄰三塊厝157號,林麗珠,嘉縣寺登字第0135號,(05)2952935,
大林鎮,廣安宮,騎虎尊王,道,管理委員會制,大林鎮三和里6鄰林子前31之6號,李水池,嘉縣寺登字第0136號,(05)2951399,
大林鎮,玄濟宮,玄天上帝,道,管理委員會制,大林鎮內林里38之1號,簡和仁,嘉縣寺登字第0449號,,
大林鎮,中坑大眾萬善堂,大眾爺,道,管理委員會制,大林鎮中坑里4鄰沙崙114之1號,梁碧三,嘉縣寺登字第0453號,(05)2951973,
大林鎮,天武宮,玄天上帝,道,管理委員會制,大林鎮三村里3鄰橋子頭7號,邱兆宗,嘉縣寺登字第0463號,(05)2658677,
大林鎮,互助福德宮,福德正神,道,管理委員會制,大林鎮大美里17鄰互助社區13巷34弄35之2號,葉春重,嘉縣寺登字第0464號,(05)2950108,
大林鎮,聖賢宮,關聖帝君,道,管理人制,大林鎮中林里21鄰下潭底3之3號,徐?惠,嘉縣寺登字第0466號,(05)2642828,
大林鎮,受天宮,北極玄天上帝,道,管理委員會制,大林鎮中坑里14鄰田寮12號附1,李木松,嘉縣寺登字第0468號,(05)2659847,
