型態,縣市別,設置單位,地址,聯絡電話,"聯絡人
姓名",檢驗項目,,,服務對象,,服務時段【●：預約制、○：非預約(隨到隨驗)】,,,,,,,,預約方式
衛生所,嘉義縣,義竹鄉衛生所,嘉義縣義竹鄉仁里村14鄰422-1號,05-3415555,曹櫻襦,-,V,V,,,08:00~12:00,●,●,●,●,●,-,-,□網址：
,,,,,,,,,,,13:00~17:00,●,●,●,●,●,-,-,■電話：05-3415555
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,■電郵：4009j@cyshb.gov.tw
衛生所,嘉義縣,鹿草鄉衛生所,嘉義縣鹿草鄉西井村287-3號,05-3752080,蔡佩娟,-,V,V,,,08:00~12:00,●,●,●,●,●,-,-,□網址：
,,,,,,,,,,,13:00~17:00,●,●,●,●,●,-,-,■電話：05-3752080
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
衛生所,嘉義縣,水上鄉衛生所,嘉義縣水上鄉水上村正義路145號,05.2682059、2685721、2685201,陳嘉惠,,V,V,,,08:00~12:00,●○,●○,●○,●○,●○,-,-,□網址：
,,,,,,,,,,,13:00~17:00,●○,●○,●○,●○,●○,-,-,■電話：(05)2682059、2685721、2685201
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
衛生所,嘉義縣,中埔衛生所,嘉義縣中埔鄉中埔村130-1號,"05-2531008  
05-2530085",賴清儀,-,V,V,,,08:00~12:00,○,○,○,○,○,-,-,□網址：
,,,,,,,,,,,13:00~17:00,○,○,○,○,○,-,-,□電話：
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
衛生所,嘉義縣,竹崎鄉衛生所,嘉義縣竹崎鄉文化路19-1號,05-2611264,李侑臻,-,V,V,,,08:00~12:00,●,●,●,●,●,-,-,□網址：
,,,,,,,,,,,13:00~17:00,●,●,●,●,●,-,-,■電話：05-2611264
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
衛生所,嘉義縣,梅山衛生所,嘉義縣梅山鄉華山路18號,05-2621049,吳亮賢,-,V,V,,,08:00~12:00,○,○,○,○,○,-,-,□網址：
,,,,,,,,,,,13:00~17:00,○,○,○,○,○,-,-,■電話：05-2621049
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
衛生所,嘉義縣,番路鄉衛生所,嘉義縣番路鄉下坑村2鄰菜公店60號,05-2591148,陳佳琪,-,V,V,,,08:00~12:00,○,○,○,○,○,-,-,□網址：
,,,,,,,,,,,13:00~17:00,○,○,○,○,○,-,-,□電話：
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
衛生所,嘉義縣,大埔鄉衛生所,嘉義縣大埔鄉大埔村53-1號,05-2521214,陳毓萍,-,V,V,,,08:00~12:00,○,○,○,○,○,-,-,□網址：
,,,,,,,,,,,13:00~17:00,○,○,○,○,○,-,-,"■電話：05-2521214,05-2522397"
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,■電郵：4017b@cyshb.gov.tw
衛生所,嘉義縣,阿里山鄉衛生所,嘉義縣阿里山鄉樂野村3鄰97-2號,05-2561573,石孟潔,-,V,V,,,08:00~12:00,●,●,●,●,●,-,-,□網址：
,,,,,,,,,,,13:00~17:00,●,●,●,●,●,-,-,■電話：05-2561573
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
